C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
19201.0,192.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
206801.0,2068.0,1.0,0.0,2.0,1.0,2004.0,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
225301.0,2253.0,0.0,0.0,0.0,0.0,,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
93602.0,936.0,1.0,1.0,5.0,3.0,2000.0,2004.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
25201.0,252.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
309902.0,3099.0,1.0,1.0,5.0,3.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
297002.0,2970.0,0.0,0.0,0.0,0.0,,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
34402.0,344.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
419403.0,4194.0,1.0,1.0,14.0,7.0,2000.0,2002.0,2018.0,1.0,1.0,8.0,5.0,2004.0,2006.0,2018.0
205401.0,2054.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
34401.0,344.0,1.0,1.0,4.0,3.0,2000.0,2002.0,2008.0,0.0,0.0,0.0,0.0,,,2008.0
224001.0,2240.0,0.0,0.0,0.0,0.0,,,2006.0,0.0,0.0,0.0,0.0,,,2006.0
324801.0,3248.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
249201.0,2492.0,1.0,0.0,2.0,1.0,2004.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
394803.0,3948.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
365903.0,3659.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
184406.0,1844.0,1.0,1.0,4.0,2.0,2004.0,2006.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
139101.0,1391.0,0.0,0.0,0.0,0.0,,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
325902.0,3259.0,1.0,1.0,2.0,2.0,2000.0,2002.0,2018.0,1.0,1.0,2.0,2.0,2000.0,2002.0,2018.0
441602.0,4416.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
283501.0,2835.0,1.0,0.0,1.0,1.0,2008.0,,2018.0,1.0,0.0,1.0,1.0,2008.0,,2018.0
431901.0,4319.0,1.0,0.0,2.0,1.0,2014.0,,2014.0,0.0,0.0,0.0,0.0,,,2014.0
241203.0,2412.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
27802.0,278.0,1.0,1.0,5.0,3.0,2002.0,2006.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
478302.0,4783.0,1.0,1.0,5.0,3.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
341801.0,3418.0,1.0,0.0,2.0,1.0,2010.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
491601.0,4916.0,0.0,0.0,0.0,0.0,,,2012.0,0.0,0.0,0.0,0.0,,,2012.0
226004.0,2260.0,1.0,1.0,3.0,2.0,2004.0,2012.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
411001.0,4110.0,1.0,1.0,5.0,3.0,2002.0,2008.0,2018.0,1.0,0.0,2.0,1.0,2008.0,,2018.0
458201.0,4582.0,0.0,0.0,0.0,0.0,,,2008.0,0.0,0.0,0.0,0.0,,,2008.0
127001.0,1270.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
6103.0,61.0,1.0,1.0,6.0,3.0,2016.0,2018.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
369803.0,3698.0,0.0,0.0,0.0,0.0,,,2002.0,0.0,0.0,0.0,0.0,,,2002.0
413601.0,4136.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
428201.0,4282.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
324802.0,3248.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
43101.0,431.0,1.0,1.0,6.0,4.0,2000.0,2002.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
444501.0,4445.0,1.0,0.0,2.0,1.0,2006.0,,2020.0,1.0,0.0,2.0,1.0,2006.0,,2020.0
229402.0,2294.0,1.0,1.0,4.0,3.0,2008.0,2010.0,2018.0,1.0,0.0,1.0,1.0,2012.0,,2018.0
383703.0,3837.0,1.0,1.0,5.0,3.0,2000.0,2002.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
