csv_code,coefficient,survey_year,feature_group,question,abs_coefficient
C1662300,-0.34815421977816174,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL,0.34815421977816174
C0005700,0.34223766749603896,XRND,background,DATE OF BIRTH OF CHILD - YEAR,0.34223766749603896
C0984100,0.3043213800664569,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.3043213800664569
C0823600,-0.27722259175887565,1990,health,HEALTH: IS CHILD 8 YRS OR OLDER?,0.27722259175887565
Y0672800,0.26323172610527673,1996,prior delinquency/contact,YASR: EVER BEEN SENTENCED TO A CORRECTIONS INSTITUTION/JAIL/REFORM,0.26323172610527673
C1977300,-0.2382884486460963,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.2382884486460963
C1977500,0.20828940593772846,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.20828940593772846
C1366500,-0.20572314363808192,1994,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.20572314363808192
Y0971600,-0.20307180024307558,1998,socioeconomic/work,YA SELF-REPORT: WAS VOLUNTEER WORK COURT ORDERED?,0.20307180024307558
C0782000,-0.2011694978342733,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.2011694978342733
C0005500,0.19507979342316906,XRND,background,DATE OF BIRTH OF CHILD - MONTH,0.19507979342316906
C1636400,-0.19408443352347846,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.19408443352347846
C0781100,-0.16994062803940901,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.16994062803940901
C0781300,-0.1683603852068233,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.1683603852068233
C0005800,0.16738678184183442,XRND,background,BIRTH ORDER OF CHILD,0.16738678184183442
Y0672100,-0.15754772609881212,1996,substance/risk behavior,YASR: EVER CONVICTED OF DRINKING/PURCHASING ALCOHOL WHILE UNDER,0.15754772609881212
C0793800,-0.1550702649752128,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.1550702649752128
C1980000,-0.15417198243582478,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.15417198243582478
C0005400,-0.14970322571557548,XRND,background,SEX OF CHILD,0.14970322571557548
C1194800,0.14512662808691662,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.14512662808691662
Y0968500,-0.14241563715639313,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ROBBERY?,0.14241563715639313
C1592600,-0.14218210232947706,1996,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA,0.14218210232947706
Y0968800,-0.13851958979018106,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF DESTRUCTION OF PROPERTY?,0.13851958979018106
C0005300,-0.1367049279838795,XRND,background,RACE OF CHILD (MOTHER'S RACIAL/ETHNIC COHORT FROM SCREENER),0.1367049279838795
C1506300,0.13612606981840475,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.13612606981840475
Y0966400,0.13577063003567436,1998,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN PAST YEAR GOTTEN INTO FIGHT AT,0.13577063003567436
C1927700,0.1354765591172308,1998,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.1354765591172308
C0573400,0.1352778668374347,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.1352778668374347
C1978200,-0.1325607044692508,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.1325607044692508
Y0969100,-0.13077991515359097,1998,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF SELLING MARIJUANA OR HASHISH?,0.13077991515359097
C1978000,-0.13074214863712855,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.13074214863712855
C1978800,-0.12960673368716852,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.12960673368716852
Y0968400,0.12747207698323573,1998,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.12747207698323573
C0730700,-0.12417635948629659,1988,prior delinquency/contact,CHILD SELF-ADMINISTERED: HURT SOMEONE BAD ENOUGH TO NEED A DOCTOR,0.12417635948629659
S0013300,-0.12087356474443647,1995,school/achievement,SCHOOLING #1: AMOUNT OF HOMEWORK ASSIGNED AT GRADE LEVEL,0.12087356474443647
C1636600,0.12023684054850145,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.12023684054850145
Y0672400,-0.11592168210942898,1996,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?,0.11592168210942898
C1637300,0.1143540545027972,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.1143540545027972
C1802100,-0.11385762447031088,1998,school/achievement,WHAT I AM LIKE/SPPC: SOME DO WELL AT CLASSWORK/OTHERS DO NOT DO SO,0.11385762447031088
C1795200,-0.1129249112445729,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,0.1129249112445729
C0997106,0.11212408933813879,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,0.11212408933813879
C0606300,-0.11199421324035673,1988,health,HEALTH: CHILD'S HEIGHT - FEET,0.11199421324035673
C1197415,-0.11075723784978135,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.11075723784978135
C1196900,-0.1102364520342661,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.1102364520342661
C0127413,-0.1086451680233419,1991,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER,0.1086451680233419
C1639100,-0.1083407315824571,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.1083407315824571
C0797105,-0.10733050712524364,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.10733050712524364
Y0377400,0.10702638012719815,1994,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ROBBERY?,0.10702638012719815
Y0673500,0.1051907700754903,1996,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES REFERRED TO COURT-RELATED,0.1051907700754903
C0565800,0.10108890568963104,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.10108890568963104
Y0970200,0.10102641809719352,1998,prior delinquency/contact,YASR: EVER BEEN SENTENCED TO A CORRECTIONS INSTITUTION/JAIL/REFORM,0.10102641809719352
