model,threshold,attribute,metric,min_value,max_value,gap
BoL LLM broad persistent,0.38,Race,base_rate,0.307692307692308,0.529411764705882,0.221719457013575
BoL LLM broad persistent,0.38,Race,predicted_positive_rate,0.461538461538462,0.517647058823529,0.0561085972850679
BoL LLM broad persistent,0.38,Race,accuracy,0.818181818181818,0.870588235294118,0.0524064171122994
BoL LLM broad persistent,0.38,Race,auc,0.875,0.913223140495868,0.0382231404958677
BoL LLM broad persistent,0.38,Race,tpr,0.818181818181818,1.0,0.181818181818182
BoL LLM broad persistent,0.38,Race,fpr,0.125,0.222222222222222,0.0972222222222222
BoL LLM broad persistent,0.38,Race,fnr,0.0,0.181818181818182,0.181818181818182
BoL LLM broad persistent,0.38,Race,ppv,0.666666666666667,0.886363636363636,0.21969696969697
BoL LLM broad persistent,0.38,Race,npv,0.818181818181818,1.0,0.181818181818182
BoL LLM broad persistent,0.38,Sex,base_rate,0.448275862068966,0.548387096774194,0.100111234705228
BoL LLM broad persistent,0.38,Sex,predicted_positive_rate,0.5,0.517241379310345,0.0172413793103449
BoL LLM broad persistent,0.38,Sex,accuracy,0.82258064516129,0.896551724137931,0.0739710789766407
BoL LLM broad persistent,0.38,Sex,auc,0.867121848739496,0.932091346153846,0.0649694974143503
BoL LLM broad persistent,0.38,Sex,tpr,0.794117647058823,0.961538461538462,0.167420814479638
BoL LLM broad persistent,0.38,Sex,fpr,0.142857142857143,0.15625,0.0133928571428572
BoL LLM broad persistent,0.38,Sex,fnr,0.0384615384615385,0.205882352941176,0.167420814479638
BoL LLM broad persistent,0.38,Sex,ppv,0.833333333333333,0.870967741935484,0.0376344086021505
BoL LLM broad persistent,0.38,Sex,npv,0.774193548387097,0.964285714285714,0.190092165898618
