csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
C0566600,C05666.00,MS860544,1986,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,1986.0
C0564300,C05643.00,MS860521,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,1986.0
C0564500,C05645.00,MS860523,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,1986.0
C0564900,C05649.00,MS860527,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,1986.0
C0565000,C05650.00,MS860528,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,1986.0
C0565200,C05652.00,MS860530,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,1986.0
C0565800,C05658.00,MS860536,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,1986.0
C0573400,C05734.00,ANTI1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1986.0
C0574100,C05741.00,ANTIP1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1986.0
C0574800,C05748.00,ANTIZ1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1986.0
C0575500,C05755.00,ANTIPX1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1986.0
C0576200,C05762.00,ANTIZX1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1986.0
C0576704,C05767.04,BPEXTR1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1986.0
C0576705,C05767.05,BPEXTP1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1986.0
C0576706,C05767.06,BPEXTZ1986,1986,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1986.0
C0112600,C01126.00,NHCHLD1986,1986,"Parents, Family Process & Childhood",quick_curated_logit_predictor; substantive_lasso_top30,NUMBER OF MEMBERS UNDER 18 IN HH OF MOTHER,family/home,1986.0
C0577900,C05779.00,BODY1986,1986,"Education, Training & Achievement Scores",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,KNOWLEDGE OF BODY PARTS: TOTAL RAW SCORE,school/achievement,1986.0
C0578100,C05781.00,LOCA1986,1986,"Education, Training & Achievement Scores",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,MEMORY FOR LOCATION:  TOTAL RAW SCORE,school/achievement,1986.0
C0783400,C07834.00,MS880831,1988,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,1988.0
C0781100,C07811.00,MS880775,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,1988.0
C0781300,C07813.00,MS880777,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,1988.0
C0781700,C07817.00,MS880814,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,1988.0
C0781800,C07818.00,MS880815,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,1988.0
C0782000,C07820.00,MS880817,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,1988.0
C0782600,C07826.00,MS880823,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,1988.0
C0793800,C07938.00,ANTI1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1988.0
C0794500,C07945.00,ANTIP1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1988.0
C0795200,C07952.00,ANTIZ1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1988.0
C0795900,C07959.00,ANTIPX1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1988.0
C0796600,C07966.00,ANTIZX1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1988.0
C0797104,C07971.04,BPEXTR1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1988.0
C0797105,C07971.05,BPEXTP1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1988.0
C0797106,C07971.06,BPEXTZ1988,1988,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1988.0
C0783700,C07837.00,MS880834,1988,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,1988.0
C0119000,C01190.00,NH6_111988,1988,"Household, Geography & Demographics",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,NUMBER OF HOUSEHOLD MEMBERS AGED 6 - 11,family/home,1988.0
C0606300,C06063.00,CS881515,1988,Health,quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,HEALTH: CHILD'S HEIGHT - FEET,health,1988.0
