csv_code,ref_id,variable,survey_year,question,n_nonmissing,n_missing,missing_rate,positive_rate_among_nonmissing
C2466100,C24661.00,CSAS040B,2000,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,735,4004,0.844903988183161,0.1945578231292517
C2466400,C24664.00,CSAS040E,2000,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,738,4001,0.8442709432369698,0.070460704607046
Y1176200,Y11762.00,YASR-61B,2000,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,1455,3284,0.6929732010972779,0.1243986254295532
Y1176900,Y11769.00,YASR-66,2000,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,105,4634,0.9778434268833088,0.4095238095238095
Y1177000,Y11770.00,YASR-67,2000,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,1453,3286,0.6933952310614053,0.0812112869924294
C2765800,C27658.00,CSAS040B,2002,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,720,4019,0.8480692129141169,0.2291666666666666
C2766100,C27661.00,CSAS040E,2002,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,718,4021,0.8484912428782444,0.1030640668523676
Y1415900,Y14159.00,YASR-60C,2002,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,752,3987,0.8413167334880777,1.0
Y1416200,Y14162.00,YASR-60F,2002,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,751,3988,0.8415277484701413,1.0
Y1416800,Y14168.00,YASR-61B,2002,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,1118,3621,0.7640852500527537,0.0384615384615384
Y1417500,Y14175.00,YASR-66,2002,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,150,4589,0.968347752690441,0.4333333333333333
Y1417600,Y14176.00,YASR-67,2002,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,1867,2872,0.6060350284870226,0.0696304231387252
C3045500,C30455.00,CSAS040B,2004,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,391,4348,0.917493142013083,0.2199488491048593
C3045800,C30458.00,CSAS040E,2004,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,393,4346,0.9170711120489556,0.1094147582697201
Y1667300,Y16673.00,YASR-60C,2004,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,720,4019,0.8480692129141169,1.0
Y1667600,Y16676.00,YASR-60F,2004,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,723,4016,0.8474361679679258,1.0
Y1668200,Y16682.00,YASR-61B,2004,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,1516,3223,0.6801012871913906,0.033641160949868
Y1668900,Y16689.00,YASR-66,2004,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,147,4592,0.9689807976366324,0.3401360544217687
Y1669000,Y16690.00,YASR-67,2004,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2240,2499,0.5273264401772526,0.0736607142857142
C3366300,C33663.00,CSAS040B,2006,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,334,4405,0.9295209959907154,0.2215568862275449
C3366600,C33666.00,CSAS040E,2006,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,343,4396,0.9276218611521418,0.1370262390670553
Y1940600,Y19406.00,YASR-60C,2006,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,683,4056,0.8558767672504748,1.0
Y1940900,Y19409.00,YASR-60F,2006,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,683,4056,0.8558767672504748,1.0
Y1941500,Y19415.00,YASR-61B,2006,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,1931,2808,0.592530069634944,0.0372863801139306
Y1942200,Y19422.00,YASR-66,2006,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,144,4595,0.9696138425828232,0.4444444444444444
Y1942300,Y19423.00,YASR-67,2006,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2613,2126,0.4486178518674826,0.066972828166858
C3870000,C38700.00,CSAS040B,2008,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,230,4509,0.9514665541253428,0.217391304347826
C3870300,C38703.00,CSAS040E,2008,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,231,4508,0.9512555391432792,0.1255411255411255
Y2256600,Y22566.00,YASR-60C,2008,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,602,4137,0.8729689807976366,1.0
Y2256900,Y22569.00,YASR-60F,2008,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,605,4134,0.8723359358514454,1.0
Y2257500,Y22575.00,YASR-61B,2008,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2277,2462,0.5195188858408947,0.0237154150197628
Y2258200,Y22582.00,YASR-66,2008,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,152,4587,0.9679257227263136,0.3486842105263157
Y2258300,Y22583.00,YASR-67,2008,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2879,1860,0.3924878666385313,0.0545328238971865
C5118200,C51182.00,CSAS040B,2010,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,208,4531,0.9561088837307448,0.2307692307692307
C5118500,C51185.00,CSAS040E,2010,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,210,4529,0.9556868537666174,0.1333333333333333
Y2608200,Y26082.00,YASR-60C,2010,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,483,4256,0.8980797636632201,1.0
Y2608500,Y26085.00,YASR-60F,2010,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,483,4256,0.8980797636632201,1.0
Y2609100,Y26091.00,YASR-61B,2010,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2354,2385,0.5032707322219878,0.0229396771452846
Y2609800,Y26098.00,YASR-66,2010,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,120,4619,0.9746782021523528,0.325
Y2609900,Y26099.00,YASR-67,2010,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2838,1901,0.4011394809031441,0.0426356589147286
C5695700,C56957.00,CSAS040B,2012,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,155,4584,0.9672926777801224,0.1806451612903225
C5696000,C56960.00,CSAS040E,2012,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,153,4586,0.9677147077442498,0.1372549019607843
Y2958300,Y29583.00,YASR-60C,2012,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,284,4455,0.9400717450939016,1.0
Y2958600,Y29586.00,YASR-60F,2012,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,283,4456,0.9402827600759652,1.0
Y2959200,Y29592.00,YASR-61B,2012,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2438,2301,0.4855454737286347,0.0164068908941755
Y2959900,Y29599.00,YASR-66,2012,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,113,4626,0.9761553070267988,0.336283185840708
