csv_code,ref_id,variable,survey_year,topic,question
C2466100,C24661.00,CSAS040B,2000,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C2466400,C24664.00,CSAS040E,2000,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1176200,Y11762.00,YASR-61B,2000,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1176900,Y11769.00,YASR-66,2000,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1177000,Y11770.00,YASR-67,2000,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C2765800,C27658.00,CSAS040B,2002,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C2766100,C27661.00,CSAS040E,2002,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1415900,Y14159.00,YASR-60C,2002,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y1416200,Y14162.00,YASR-60F,2002,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y1416800,Y14168.00,YASR-61B,2002,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1417500,Y14175.00,YASR-66,2002,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1417600,Y14176.00,YASR-67,2002,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C3045500,C30455.00,CSAS040B,2004,Crime & Substance Use,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C3045800,C30458.00,CSAS040E,2004,"Education, Training & Achievement Scores",CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1667300,Y16673.00,YASR-60C,2004,Crime & Substance Use,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y1667600,Y16676.00,YASR-60F,2004,"Education, Training & Achievement Scores",HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y1668200,Y16682.00,YASR-61B,2004,Crime & Substance Use,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1668900,Y16689.00,YASR-66,2004,Other / Unclassified,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1669000,Y16690.00,YASR-67,2004,Crime & Substance Use,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
