C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
201.0,2.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
202.0,2.0,,,,,,,,,,,,,,
301.0,3.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
302.0,3.0,1.0,1.0,2.0,2.0,2000.0,2008.0,2020.0,1.0,1.0,2.0,2.0,2000.0,2008.0,2020.0
303.0,3.0,1.0,0.0,2.0,1.0,2002.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
401.0,4.0,,,,,,,,,,,,,,
403.0,4.0,,,,,,,,,,,,,,
801.0,8.0,1.0,1.0,2.0,2.0,2000.0,2002.0,2018.0,0.0,0.0,0.0,0.0,,,2018.0
802.0,8.0,1.0,0.0,1.0,1.0,2000.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
803.0,8.0,1.0,0.0,1.0,1.0,2000.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
1001.0,10.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
1002.0,10.0,,,,,,,,,,,,,,
1201.0,12.0,,,,,,,,,,,,,,
1202.0,12.0,,,,,,,,,,,,,,
1601.0,16.0,1.0,1.0,3.0,2.0,2006.0,2008.0,2016.0,1.0,0.0,1.0,1.0,2008.0,,2016.0
1602.0,16.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
1603.0,16.0,1.0,1.0,3.0,2.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
1901.0,19.0,0.0,0.0,0.0,0.0,,,2010.0,0.0,0.0,0.0,0.0,,,2010.0
2001.0,20.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
2501.0,25.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
2502.0,25.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
2701.0,27.0,1.0,0.0,2.0,1.0,2004.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
2702.0,27.0,1.0,1.0,2.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
3001.0,30.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
3002.0,30.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
