csv_code,ref_id,variable,survey_year,feature_group,question,feature_value_center,ale_probability,local_probability_change,n
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1975.5,-0.143580532005667,0.0,106
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1980.5,-0.143580532005667,0.0,137
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1983.0,-0.143580532005667,0.0,122
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1984.5,-0.08056337766540442,0.06301715434026259,69
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1986.0,0.07218650964007642,0.15274988730548084,138
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1988.0,0.07218650964007642,0.0,138
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1990.0,0.07218650964007642,0.0,126
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1992.0,0.07218650964007642,0.0,128
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,1994.7,0.07218650964007642,0.0,149
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,2002.2,0.07218650964007642,0.0,124
Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),250.0,0.006443695937983468,0.051448206442339404,111
Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),520.0000000000045,0.006443695937983468,0.0,1002
Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),820.0000000000045,-0.05783736757238388,-0.06428106351036735,124
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",0.5,-0.05069381813133127,0.0,1
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",1.5,-0.05069381813133127,0.0,47
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",2.5,0.048246716382618085,0.09894053451394935,82
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",3.5,-0.0013757249079230233,-0.04962244129054111,1004
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",4.5,-0.0013757249079230233,0.0,103
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,1.5,0.013078983196881722,-0.046702155524244796,940
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,2.5,-0.04139476163322832,-0.054473744830110034,15
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,5.0,-0.04139476163322832,0.0,13
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,7.5,-0.04139476163322832,0.0,17
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,8.5,-0.04139476163322832,0.0,1
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,10.0,-0.04139476163322832,0.0,2
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,11.5,-0.04139476163322832,0.0,249
