model,threshold_name,threshold,attribute,subgroup,n,base_rate,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn,fpr,fnr,ppv,npv
Gradient Boosting Stumps,fixed_0.50,0.5,Sex,Female,603,0.45107794361525705,0.8490878938640133,0.9394104318464546,0.9411764705882353,0.7734138972809668,0.548922056384743,256,256,75,16,0.22658610271903323,0.058823529411764705,0.7734138972809668,0.9411764705882353
Gradient Boosting Stumps,fixed_0.50,0.5,Sex,Male,634,0.5694006309148265,0.7807570977917981,0.873184986758394,0.8310249307479224,0.7142857142857143,0.5962145110410094,300,195,78,61,0.2857142857142857,0.16897506925207756,0.7936507936507936,0.76171875
Gradient Boosting Stumps,fixed_0.50,0.5,Race,Black,190,0.4368421052631579,0.868421052631579,0.9272604436437338,0.8072289156626506,0.9158878504672897,0.4,67,98,9,16,0.08411214953271028,0.1927710843373494,0.881578947368421,0.8596491228070176
Gradient Boosting Stumps,fixed_0.50,0.5,Race,Hispanic,109,0.45871559633027525,0.7798165137614679,0.8745762711864407,0.8,0.7627118644067796,0.4954128440366973,40,45,14,10,0.23728813559322035,0.2,0.7407407407407407,0.8181818181818182
Gradient Boosting Stumps,fixed_0.50,0.5,Race,Non-Black/non-Hispanic,938,0.5330490405117271,0.8070362473347548,0.901337899543379,0.898,0.7031963470319634,0.6172707889125799,449,308,130,51,0.2968036529680365,0.102,0.7754749568221071,0.8579387186629527
Gradient Boosting Stumps,test_best_accuracy_exploratory,0.596065,Sex,Female,603,0.45107794361525705,0.8971807628524047,0.9394104318464546,0.8860294117647058,0.9063444108761329,0.45107794361525705,241,300,31,31,0.09365558912386707,0.11397058823529412,0.8860294117647058,0.9063444108761329
Gradient Boosting Stumps,test_best_accuracy_exploratory,0.596065,Sex,Male,634,0.5694006309148265,0.8091482649842271,0.873184986758394,0.7506925207756233,0.8864468864468864,0.47634069400630913,271,242,31,90,0.11355311355311355,0.24930747922437674,0.8973509933774835,0.7289156626506024
Gradient Boosting Stumps,test_best_accuracy_exploratory,0.596065,Race,Black,190,0.4368421052631579,0.8315789473684211,0.9272604436437338,0.6626506024096386,0.9626168224299065,0.3105263157894737,55,103,4,28,0.037383177570093455,0.3373493975903614,0.9322033898305084,0.7862595419847328
Gradient Boosting Stumps,test_best_accuracy_exploratory,0.596065,Race,Hispanic,109,0.45871559633027525,0.7981651376146789,0.8745762711864407,0.66,0.9152542372881356,0.3486238532110092,33,54,5,17,0.0847457627118644,0.34,0.868421052631579,0.7605633802816901
Gradient Boosting Stumps,test_best_accuracy_exploratory,0.596065,Race,Non-Black/non-Hispanic,938,0.5330490405117271,0.8624733475479744,0.901337899543379,0.848,0.8789954337899544,0.5085287846481876,424,385,53,76,0.12100456621004566,0.152,0.8888888888888888,0.8351409978308026
