csv_code,mean_abs_shap_logit,mean_shap_logit,n_splits,mean_split_loss,ref_id,variable,survey_year,feature_group,question
C0005700,0.42028341748252707,0.0021766773951331347,51,0.18223907244815565,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
C0008048,0.149524564110445,-0.0048524712058376565,23,0.1804144241589655,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
Y3254900,0.10805520984707756,0.005665272204656328,31,0.17033701670006224,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
Y3599000,0.08137747725097602,0.0048967906958724584,25,0.1661477952425921,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
Y3300000,0.03714152291043777,-0.0008518384128569052,8,0.17722840942728713,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
Y2590306,0.016558357307893592,0.0008408008708092139,4,0.16386545933695712,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
Y3456000,0.013789324367890543,0.0014015990036039118,4,0.17238675958546318,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
Y3332600,0.009934762991326868,0.0006190564823092466,3,0.16318434862425052,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C6051000,0.0033923297271527078,0.00029420386922013005,1,0.157179925344271,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD
Y2878303,0.0,0.0,0,,Y28783.03,Q13-3F.05~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y2878203,0.0,0.0,0,,Y28782.03,Q13-3F.04~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C5699400,0.0,0.0,0,,C56994.00,CSAS056B,2012,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL
C5699600,0.0,0.0,0,,C56996.00,CSAS057B,2012,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN
C5700200,0.0,0.0,0,,C57002.00,CSAS063,2012,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA
Y2959806,0.0,0.0,0,,Y29598.06,YASR-65A~000007,2012,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR
Y2959807,0.0,0.0,0,,Y29598.07,YASR-65A~000008,2012,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR
C6034500,0.0,0.0,0,,C60345.00,MS-BPI-31,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3248901,0.0,0.0,0,,Y32489.01,Q13-3G.01~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3249001,0.0,0.0,0,,Y32490.01,Q13-3G.02~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3249101,0.0,0.0,0,,Y32491.01,Q13-3G.03~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3249201,0.0,0.0,0,,Y32492.01,Q13-3G.04~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3249301,0.0,0.0,0,,Y32493.01,Q13-3G.05~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y3249401,0.0,0.0,0,,Y32494.01,Q13-3G.06~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C5806800,0.0,0.0,0,,C58068.00,BPMIS22014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -
C5806900,0.0,0.0,0,,C58069.00,BPEXTR2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C5807400,0.0,0.0,0,,C58074.00,BPEXTP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C5807500,0.0,0.0,0,,C58075.00,BPEXTZ2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C5807700,0.0,0.0,0,,C58077.00,ANTI2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C5807800,0.0,0.0,0,,C58078.00,ANTIPX2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C5807900,0.0,0.0,0,,C58079.00,ANTIP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C5808000,0.0,0.0,0,,C58080.00,ANTIZX2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
Y2878003,0.0,0.0,0,,Y28780.03,Q13-3F.02~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y2961700,0.0,0.0,0,,Y29617.00,YASR-69B,2012,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?
Y2958600,0.0,0.0,0,,Y29586.00,YASR-60F,2012,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
C5696000,0.0,0.0,0,,C56960.00,CSAS040E,2012,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2959800,0.0,0.0,0,,Y29598.00,YASR-65A~000001,2012,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT
Y2878403,0.0,0.0,0,,Y28784.03,Q13-3F.06~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C5525400,0.0,0.0,0,,C55254.00,CRES2012,2012,family/home,USUAL RESIDENCE OF CHILD
C5527600,0.0,0.0,0,,C55276.00,NH6_112012,2012,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
Y2892400,0.0,0.0,0,,Y28924.00,Q14-16,2012,health,WHEN R LAST SAW DOCTOR FOR TREATMENT OF AN ILLNESS
Y2939300,0.0,0.0,0,,Y29393.00,Q16-11D,2012,other,TREATMENT BY OTHERS:  HOW OFTEN PEOPLE HAVE ACTED AS IF THEY THINK
Y2964011,0.0,0.0,0,,Y29640.11,YASR-72A~000012,2012,other,WHO R WOULD TURN TO FOR HELP WITH EMOTIONAL OR PERSONAL PROBLEM -
C5693600,0.0,0.0,0,,C56936.00,CSAS024A,2012,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
C5695700,0.0,0.0,0,,C56957.00,CSAS040B,2012,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y2958300,0.0,0.0,0,,Y29583.00,YASR-60C,2012,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2959801,0.0,0.0,0,,Y29598.01,YASR-65A~000002,2012,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ROBBERY
C5675400,0.0,0.0,0,,C56754.00,SCHL-15,2012,school/achievement,SCHOOL: HOW OFTEN DOES TEACHER GIVE CHILD HOMEWORK
Y2959802,0.0,0.0,0,,Y29598.02,YASR-65A~000003,2012,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT
Y2959804,0.0,0.0,0,,Y29598.04,YASR-65A~000005,2012,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY
Y2960000,0.0,0.0,0,,Y29600.00,YASR-67,2012,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y2878103,0.0,0.0,0,,Y28781.03,Q13-3F.03~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y2959900,0.0,0.0,0,,Y29599.00,YASR-66,2012,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y2674500,0.0,0.0,0,,Y26745.00,Q4-5AA,2012,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
C6031700,0.0,0.0,0,,C60317.00,MS-BPI-04,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y2674600,0.0,0.0,0,,Y26746.00,Q4-5AB,2012,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON
Y2959200,0.0,0.0,0,,Y29592.00,YASR-61B,2012,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C5808100,0.0,0.0,0,,C58081.00,ANTIZ2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN
