C0000100,rank,csv_code,shap_logit,abs_shap_logit,base_logit,predicted_logit,probability,y_true,ref_id,variable,survey_year,feature_group,question
103001,1,C0005700,-0.5475052743472311,0.5475052743472311,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
103001,2,C0008048,0.09519115900159617,0.09519115900159617,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
103001,3,Y3254900,0.07005589457071484,0.07005589457071484,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
103001,4,Y3599000,0.05325412647218104,0.05325412647218104,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
103001,5,Y3300000,0.020801825636472003,0.020801825636472003,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
103001,6,Y2590306,0.010038600124559267,0.010038600124559267,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
103001,7,Y3456000,0.008198591714894874,0.008198591714894874,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
103001,8,Y3332600,0.005746071606024694,0.005746071606024694,0.04361990643584945,-0.23855780869598936,0.44064178665656895,1,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
372703,1,C0005700,0.3594106859447495,0.3594106859447495,0.04361990643584945,0.4524101909906659,0.6112121254068204,0,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
372703,2,Y3254900,-0.14589206603461025,0.14589206603461025,0.04361990643584945,0.4524101909906659,0.6112121254068204,0,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
372703,3,C0008048,0.09519115900159617,0.09519115900159617,0.04361990643584945,0.4524101909906659,0.6112121254068204,0,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
372703,4,Y3599000,0.05325412647218104,0.05325412647218104,0.04361990643584945,0.4524101909906659,0.6112121254068204,0,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET)
