feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,ref_id,variable,survey_year,feature_group,question
863,C0005700,1985.0,-0.2892037583394677,0.20478845173120402,0.19063957654171523,1,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.28559011728393185,0.20223030321185342,0.19063957654171523,2,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.282020807282597,0.19970483804757372,0.19063957654171523,3,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2784956620392539,0.19721174715339923,0.1906395765417152,4,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.275014490079199,0.19475071655563153,0.1906395765417152,5,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2715770762974629,0.19232142791944823,0.19063957654171523,6,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2681831834589675,0.1899235590516176,0.19063957654171523,7,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2648325536496345,0.1875567843789926,0.19063957654171523,8,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2615249096777546,0.18522077540346987,0.19063957654171523,9,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2582599564251965,0.18291520113411705,0.19063957654171523,10,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.25503738214826555,0.18063972849717597,0.1906395765417152,11,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.25185685972825006,0.17839402272465654,0.19063957654171523,12,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2487180478718807,0.176177747722236,0.1906395765417152,13,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1984.0,-0.27979332490031383,0.15308151728228137,0.1905461147122859,14,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2429319216533316,0.1720914396612139,0.19051090087507738,15,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1984.0,-0.2732917778727462,0.1495350598769844,0.1904214752454422,16,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.23729052359960284,0.16810560637152372,0.19038839421314765,17,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1984.0,-0.26695385563368135,0.14607602350499363,0.19030270213839517,18,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.2317915018182825,0.16421800474054737,0.19027178966404895,19,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.10551397755503855,-0.3554862331224197,0.18990099645121988,20,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1984.0,-0.258975972451745,0.14171698832428994,0.1897805927248666,21,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,2.5,0.09993168171039868,-0.36112105906139175,0.18950144781228753,22,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1985.0,-0.2233968061215666,0.15827180773937483,0.18933779935014827,23,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.10157811447237347,-0.34222795568777137,0.1890756332671466,24,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1984.0,-0.24951630367099167,0.1365342362439028,0.1889155810827282,25,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.0996374291810251,-0.3357150046582519,0.18870687145098847,26,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1985.0,-0.2153737668992593,0.15257044037215967,0.1884752854903273,27,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,2.5,0.09441117111453974,-0.34122725919838515,0.18832577060973332,28,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1984.0,-0.2404665817869654,0.13155727369946116,0.1881192888877029,29,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.0959362404904197,-0.32332625791486724,0.1879702145224282,30,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1985.0,-0.20768870620557722,0.1470866982212235,0.18768687016400498,31,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,2.5,0.09089315742950554,-0.3286273299518811,0.1876272268231301,32,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1985.0,-0.20380988305961503,0.1443139409088914,0.18736327055365734,33,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.09240550160430624,-0.31154904656074844,0.1872760352571929,34,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1984.0,-0.22781949544194252,0.12456534710576729,0.18699547465465857,35,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
863,C0005700,1985.0,-0.19790294574107584,0.14008537571547325,0.18696913696010095,36,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.09006189678906525,-0.3037712055121027,0.1866628178748621,37,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1984.0,-0.22120017738549377,0.1208973730188758,0.18662856853105567,38,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,2.5,0.08532533011494012,-0.3088281518031925,0.18637210938929802,39,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
863,C0005700,1985.0,-0.19096774465167818,0.1350839661679113,0.18631042589683758,40,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,1.5,0.08675397219513652,-0.29285856701350793,0.18607142490776313,41,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
644,Y3254900,2.5,-0.4387774600404809,0.056934272999943046,0.1858721423931257,42,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1984.0,-0.2131512212901186,0.1164030567604604,0.18546986149444722,43,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
377,C0008048,2.5,0.08205166677073053,-0.29727712172961496,0.18528494009470922,44,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
644,Y3254900,2.5,-0.4323552959927113,0.0560552217687929,0.18483848136594902,45,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1985.0,-0.1837932312495554,0.12988802732431548,0.18466507696267553,46,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,2.5,-0.426535878017786,0.055288165300766925,0.18434048150421886,47,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
377,C0008048,1.5,0.08316363924100187,-0.28106545781072173,0.1840074740095903,48,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
644,Y3254900,2.5,-0.4207684919135405,0.054506785977355844,0.1838643602953298,49,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1984.0,-0.2050422244237148,0.11184818651679773,0.18336430108915053,50,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
643,Y3300000,1.5,0.056056473029337424,-0.4024601278659507,0.18314620050511063,51,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
377,C0008048,2.5,0.07849191088954002,-0.2847964211533947,0.1828400698987869,52,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
644,Y3254900,2.5,-0.4128954062461653,0.05342314427177052,0.18257450974556969,53,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
863,C0005700,1984.0,-0.20080933422469513,0.10944962924126667,0.18218850582023988,54,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
643,Y3300000,1.5,0.05488236953032742,-0.3945166820542603,0.18193664025401982,55,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
863,C0005700,1985.0,-0.17439640949030574,0.12303656406059059,0.1816894409165382,56,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,2.5,-0.4052553160277417,0.05238773377147691,0.1813335289960191,57,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
377,C0008048,1.5,0.07885253173256027,-0.2670598254639787,0.1810421720214897,58,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
643,Y3300000,1.5,0.05374161966209909,-0.38678854901876525,0.18077824947304147,59,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
863,C0005700,1984.0,-0.1944172561841179,0.10583427070257218,0.18057013742325398,60,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
644,Y3254900,2.5,-0.39779456357315396,0.05134690205262365,0.180156674850939,61,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
377,C0008048,2.5,0.0744386813147814,-0.2707644900950896,0.17998896894136124,62,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
643,Y3300000,1.5,0.05262011730683674,-0.37931940624922905,0.17966768097606817,63,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
644,Y3254900,2.5,-0.3909478614262737,0.0504001839762031,0.17944188204883224,64,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
