csv_code,ref_id,variable,survey_year,feature_group,question,feature_value_center,ale_probability,local_probability_change,n
C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,-2.480014407050387,-0.08611529484097195,0.052332806407156,108
C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,-1.3699856743243137,-0.050711246878425945,0.03540404796254601,5
C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,-0.6636037534986309,-0.028312089050639436,0.022399157827786505,5
C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,-0.05813353564804555,0.008664493764495379,0.036976582815134815,1119
Y1176200,Y11762.00,YASR-61B,2000,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2.1644894208381085,0.0,0.1811019063574372,1237
C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,-3.305737226855382,-0.10428875859152155,0.09361640060844457,48
C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,-0.8739437429829771,-0.011750535327781808,0.09253822326373974,15
C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,0.45248906640197106,0.004177149683344511,0.015927685011126326,1170
C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,0.8946333361969536,0.048789965550773834,0.04461281586742932,1
C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,1.3367776059919363,0.08202111574862278,0.03323115019784893,3
Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,0.44743779864166106,0.006812612129552156,-0.07572998195844678,1079
Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,2.0017521262529705,-0.035191802417773727,-0.04200441454732588,78
Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,3.55606645386428,-0.05503687269427196,-0.01984507027649823,56
Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,5.110380781475589,-0.06349095951338354,-0.008454086819111582,24
