csv_code,coefficient,ref_id,variable,survey_year,feature_group,question,abs_coefficient
Y1176200,0.5611610253334622,Y11762.00,YASR-61B,2000,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.5611610253334622
C6051000,0.5545459690639681,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,0.5545459690639681
Y3300000,-0.5358570212547368,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,0.5358570212547368
Y3456000,-0.500641730237065,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF,0.500641730237065
Y2964011,-0.48394025514074585,Y29640.11,YASR-72A~000012,2012,other,WHO R WOULD TURN TO FOR HELP WITH EMOTIONAL OR PERSONAL PROBLEM -,0.48394025514074585
C6120500,0.4644789106395268,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD,0.4644789106395268
Y3332600,-0.4602632290814026,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,0.4602632290814026
C0008048,-0.37996425773024806,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,0.37996425773024806
Y2616600,-0.37805660902298843,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,0.37805660902298843
Y1177000,0.3729537689867692,Y11770.00,YASR-67,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.3729537689867692
Y1417600,0.3191523849673382,Y14176.00,YASR-67,2002,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.3191523849673382
Y3563900,-0.3105962781675352,Y35639.00,Q12-172,2016,other,HOW MANY (MORE) CHILDREN DOES R EXPECT TO HAVE? (NONE OR SELECT TO,0.3105962781675352
C2466100,0.3051554032425245,C24661.00,CSAS040B,2000,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.3051554032425245
C5525400,0.28955337416061777,C55254.00,CRES2012,2012,family/home,USUAL RESIDENCE OF CHILD,0.28955337416061777
C2765800,0.2832577590425044,C27658.00,CSAS040B,2002,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.2832577590425044
Y3676400,-0.281372669630388,Y36764.00,RESTYPE2016,2016,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,0.281372669630388
Y1669000,0.2738646473130016,Y16690.00,YASR-67,2004,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.2738646473130016
Y3332300,0.2612935065031742,Y33323.00,NUMINHH2014,2014,family/home,NUMBER OF HOUSEHOLD MEMBERS IN HH OF R,0.2612935065031742
Y2960000,0.2590573066335009,Y29600.00,YASR-67,2012,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.2590573066335009
C3870000,0.25759200864009635,C38700.00,CSAS040B,2008,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.25759200864009635
C1506300,0.24895046078976485,C15063.00,BPMIS21994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.24895046078976485
C3366300,0.2474684326767879,C33663.00,CSAS040B,2006,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.2474684326767879
C0781100,-0.24604615636460284,C07811.00,MS880775,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.24604615636460284
