model,threshold_name,threshold,attribute,subgroup,n,base_rate,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn,fpr,fnr,ppv,npv
L2 Logistic Regression,fixed_0.50,0.5,Sex,Female,603,0.45107794361525705,0.9021558872305141,0.9521281322196552,0.9338235294117647,0.8761329305135952,0.4892205638474295,254,290,41,18,0.12386706948640483,0.0661764705882353,0.8610169491525423,0.9415584415584416
L2 Logistic Regression,fixed_0.50,0.5,Sex,Male,634,0.5694006309148265,0.8753943217665615,0.9451361196513551,0.9113573407202216,0.8278388278388278,0.5930599369085173,329,226,47,32,0.17216117216117216,0.0886426592797784,0.875,0.875968992248062
L2 Logistic Regression,fixed_0.50,0.5,Race,Black,190,0.4368421052631579,0.9578947368421052,0.9799572120256728,0.9518072289156626,0.9626168224299065,0.4368421052631579,79,103,4,4,0.037383177570093455,0.04819277108433735,0.9518072289156626,0.9626168224299065
L2 Logistic Regression,fixed_0.50,0.5,Race,Hispanic,109,0.45871559633027525,0.8348623853211009,0.9484745762711865,0.86,0.8135593220338984,0.4954128440366973,43,48,11,7,0.1864406779661017,0.14,0.7962962962962963,0.8727272727272727
L2 Logistic Regression,fixed_0.50,0.5,Race,Non-Black/non-Hispanic,938,0.5330490405117271,0.8805970149253731,0.9408949771689498,0.922,0.8333333333333334,0.5692963752665245,461,365,73,39,0.16666666666666666,0.078,0.8632958801498127,0.9034653465346535
L2 Logistic Regression,test_best_accuracy_exploratory,0.47472,Sex,Female,603,0.45107794361525705,0.9021558872305141,0.9521281322196552,0.9411764705882353,0.8700906344410876,0.49585406301824214,256,288,43,16,0.1299093655589124,0.058823529411764705,0.8561872909698997,0.9473684210526315
L2 Logistic Regression,test_best_accuracy_exploratory,0.47472,Sex,Male,634,0.5694006309148265,0.8801261829652997,0.9451361196513551,0.9224376731301939,0.8241758241758241,0.6009463722397477,333,225,48,28,0.17582417582417584,0.07756232686980609,0.8740157480314961,0.8893280632411067
L2 Logistic Regression,test_best_accuracy_exploratory,0.47472,Race,Black,190,0.4368421052631579,0.9473684210526315,0.9799572120256728,0.9518072289156626,0.9439252336448598,0.4473684210526316,79,101,6,4,0.056074766355140186,0.04819277108433735,0.9294117647058824,0.9619047619047619
L2 Logistic Regression,test_best_accuracy_exploratory,0.47472,Race,Hispanic,109,0.45871559633027525,0.8532110091743119,0.9484745762711865,0.9,0.8135593220338984,0.5137614678899083,45,48,11,5,0.1864406779661017,0.1,0.8035714285714286,0.9056603773584906
L2 Logistic Regression,test_best_accuracy_exploratory,0.47472,Race,Non-Black/non-Hispanic,938,0.5330490405117271,0.8837953091684435,0.9408949771689498,0.93,0.8310502283105022,0.5746268656716418,465,364,74,35,0.1689497716894977,0.07,0.862708719851577,0.9122807017543859
