C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
302,1,9.0,1,1.515903683814873,1.3591495143250865,5,1,True
802,0,21.0,0,3.1797431417044484,1.8036604109651195,11,1,False
803,0,21.0,0,1.9354803215151912,1.5045530528343642,11,1,False
2001,1,9.0,1,1.783891802090482,1.6152892991654266,5,1,True
2701,0,19.0,0,1.1432652788340276,1.0874215367371574,10,0,True
2702,1,9.0,1,3.9983367962179934,1.8603620717234144,5,1,True
3002,1,5.0,1,1.207083920787062,1.207083920787062,3,1,True
4301,0,21.0,0,0.8762195807985638,0.6815765798854991,11,0,True
4304,0,21.0,0,6.821100386265599,2.09889475761561,11,1,False
4401,0,19.0,0,0.849970737131506,0.7430352494115487,10,0,True
4402,0,19.0,0,0.9327305789330237,0.7951096110333277,10,0,True
4902,1,5.0,1,1.4920695114614433,1.383210783932232,3,1,True
5702,1,13.0,1,1.0453284952783284,0.9945651835517275,7,0,False
5703,0,21.0,0,2.242756843569044,1.1879729420667193,11,1,False
5803,0,11.0,0,1.1179258489007522,1.1179258489007522,6,0,True
6201,0,21.0,0,2.6198752165133095,1.3029282750910098,11,1,False
7801,1,5.0,1,1.3491362234637099,1.34913622346371,3,1,True
9101,0,21.0,0,2.6994599708361546,1.4446868721405919,11,1,False
9502,1,5.0,1,0.9246524442264408,0.9246524442264409,3,0,False
9503,1,5.0,1,2.184621991717234,1.3776688453428372,3,1,True
9602,1,3.0,1,10.627732528649618,6.043365841588547,2,1,True
9802,1,9.0,1,1.8356036743526216,1.7552502543398028,5,1,True
9902,1,11.0,1,0.9008353972687915,0.9008353972687915,6,0,False
10001,0,7.0,0,1.3427099677138037,1.3427099677138037,4,1,False
10003,1,9.0,1,2.953718821562081,1.5903102201377903,5,1,True
11102,0,17.0,0,1.0891304970853852,0.9231430504562496,9,0,True
11103,1,5.0,1,1.707969238593903,1.4389246248188658,3,1,True
12402,1,7.0,1,2.9420290253200148,2.0551987399868916,4,1,True
12801,0,13.0,0,0.9741922721556385,0.8918333724503686,7,0,True
13801,1,5.0,1,2.5354913495843965,1.988005399175685,3,1,True
14001,1,9.0,1,3.4178128467825117,1.5406406582993537,5,1,True
14303,1,7.0,1,1.108243786573899,1.108243786573899,4,0,False
15902,0,21.0,0,0.9087054566981844,0.8601170995709673,11,0,True
16001,1,9.0,1,1.1276924976083609,1.1276924976083609,5,0,False
16501,1,7.0,1,2.671645737098083,2.3560112927360923,4,1,True
16502,1,11.0,1,1.505104829304846,1.4079946185969856,6,1,True
16701,1,3.0,1,1.928013002624153,1.4105232504912073,2,1,True
16702,1,5.0,1,1.783891802090482,1.5028876305487229,3,1,True
17201,1,9.0,1,2.5538417568600793,1.2504903067531685,5,1,True
17401,0,19.0,0,1.0947528780593296,0.9162109103386262,10,0,True
18301,1,13.0,1,1.4463631458307882,1.4456529820230668,7,1,True
18303,1,9.0,1,1.0247928055720306,1.0247928055720306,5,0,False
18601,1,9.0,1,1.3491362234637099,1.3491362234637099,5,1,True
19001,1,13.0,1,0.9087054566981844,0.7123158043282738,7,0,False
19202,0,17.0,0,1.348662961181901,1.1966590276331768,9,1,False
19203,0,21.0,0,2.1784072434204362,1.2364799312255477,11,1,False
20001,0,21.0,0,1.74926628379449,1.561117803223983,11,1,False
20302,0,7.0,0,0.8930334983582616,0.8930334983582616,4,0,True
20402,0,19.0,0,1.5973253223448916,1.4870089140601441,10,1,False
20501,0,21.0,0,0.9408792874652048,0.8237258197514624,11,0,True
20502,0,19.0,0,0.8172710372326707,0.7205413018038112,10,0,True
20503,0,21.0,0,1.2308353060954345,0.987109583168592,11,1,False
21101,0,21.0,0,2.787404760305574,1.2540013408960196,11,1,False
21103,1,17.0,1,1.377648367612918,1.0827312787918808,9,1,True
22101,1,3.0,1,1.2784690978159918,1.2784690978159918,2,1,True
22104,1,9.0,1,1.18374398767404,1.1204813884050753,5,0,False
22401,0,21.0,0,1.3156293712035216,0.7684929730151508,11,1,False
22701,0,21.0,0,1.2218673543717293,0.8685873582700211,11,1,False
22703,1,5.0,1,1.1201469338185266,1.0264481004860448,3,0,False
22704,0,21.0,0,2.36961344456292,1.2012806383447783,11,1,False
22804,1,5.0,1,8.440883389707535,3.668231787820259,3,1,True
22901,1,9.0,1,5.208516256099632,2.347832451128606,5,1,True
23603,0,19.0,0,1.1517021158738878,0.9670372519404078,10,0,True
23902,1,3.0,1,1.961677255744889,1.5477809874177546,2,1,True
23903,1,3.0,1,1.515903683814873,1.1960616323067184,2,1,True
24001,1,5.0,1,1.1043170783970915,1.011942391870738,3,0,False
24002,1,5.0,1,2.1120591814568797,1.6444347106689452,3,1,True
24201,1,5.0,1,1.604489146232928,1.3517450376740057,3,1,True
24403,1,9.0,1,1.3848058262390026,1.3848058262390026,5,1,True
24501,1,5.0,1,2.3384230052007475,1.4746590182247985,3,1,True
24502,1,13.0,1,3.488356662245456,1.3010744222465402,7,1,True
24901,0,21.0,0,0.7488888770901277,0.5907600553001401,11,0,True
24902,0,19.0,0,1.7126371337454174,1.3901993081259603,10,1,False
25001,0,21.0,0,0.767755343093817,0.7274237342555306,11,0,True
25201,0,21.0,0,1.8527490849769839,1.135409413321191,11,1,False
25202,1,9.0,1,1.4589991545274752,1.4589991545274752,5,1,True
25501,0,3.0,0,0.9327305789330237,0.9327305789330237,2,0,True
27201,0,13.0,0,1.2386643638832717,1.2130031053348078,7,1,False
