model_feature,coefficient,abs_coefficient,csv_code,ref_id,variable,survey_year,feature_group,question
C0008048,-0.2701662202966135,0.2701662202966135,C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD
C0606300,-0.26510037098059447,0.26510037098059447,C0606300,C06063.00,CS881515,1988,health,HEALTH: CHILD'S HEIGHT - FEET
C5990500,-0.2558365551079073,0.2558365551079073,C5990500,C59905.00,MS-BKGN-AGECK-YA1,2014,family/home,IS CHILD TURNING 15 YEARS OF AGE IN 2014?
C2521400,0.22274095951042497,0.22274095951042497,C2521400,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER
C2433500,0.19787639995237805,0.19787639995237805,C2433500,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C3868100,0.1881881292493259,0.1881881292493259,C3868100,C38681.00,CSAS024A,2008,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
C0005700,-0.18356449801552963,0.18356449801552963,C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR
C5525400,-0.17843530190294993,0.17843530190294993,C5525400,C55254.00,CRES2012,2012,family/home,USUAL RESIDENCE OF CHILD
C2479400,0.17711414242339388,0.17711414242339388,C2479400,C24794.00,CSAS107C,2000,school/achievement,CHILD SELF-ADMIN: EVER HAD A CLASS/TRAINING PROGRAM ON WORD
C0781100,0.15881494473581867,0.15881494473581867,C0781100,C07811.00,MS880775,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y1917200,-0.1556375432250583,0.1556375432250583,Y1917200,Y19172.00,Q15-143,2006,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
Y2616600,-0.15419730098659107,0.15419730098659107,Y2616600,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C3048400,-0.1514155761683668,0.1514155761683668,C3048400,C30484.00,CSAS049A,2004,other,CHILD SELF-ADMIN: OFTEN GETS IN A JAM BECAUSE R DOES THINGS W/O
Y2964011,-0.13954890102000184,0.13954890102000184,Y2964011,Y29640.11,YASR-72A~000012,2012,other,WHO R WOULD TURN TO FOR HELP WITH EMOTIONAL OR PERSONAL PROBLEM -
C1978800,-0.13902633819262722,0.13902633819262722,C1978800,C19788.00,MS984019,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C1636400,-0.1375165831490173,0.1375165831490173,C1636400,C16364.00,MS961429,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
