C0000100,any_delinquency,any_violence,target_violent_ever,target_property_ever
201,0.0,0.0,0.0,
202,,,,
301,1.0,1.0,1.0,0.0
302,1.0,0.0,0.0,0.0
303,1.0,1.0,1.0,1.0
401,1.0,1.0,1.0,1.0
403,,,,
801,1.0,1.0,1.0,0.0
802,1.0,1.0,1.0,1.0
803,1.0,1.0,1.0,1.0
1001,0.0,0.0,0.0,0.0
1002,,,,
1201,,,,
1202,,,,
1601,1.0,1.0,1.0,1.0
1602,1.0,1.0,1.0,1.0
1603,1.0,1.0,1.0,1.0
1901,0.0,0.0,0.0,
2001,1.0,1.0,1.0,1.0
2501,1.0,1.0,1.0,1.0
2502,1.0,1.0,1.0,1.0
2701,1.0,1.0,1.0,1.0
2702,1.0,0.0,1.0,1.0
3001,0.0,0.0,0.0,
3002,1.0,1.0,1.0,1.0
3003,1.0,1.0,1.0,1.0
3501,,,,
3502,,,,
3701,0.0,0.0,0.0,0.0
4301,1.0,0.0,0.0,0.0
4302,1.0,1.0,1.0,1.0
4303,1.0,1.0,1.0,1.0
4304,1.0,1.0,1.0,1.0
4401,1.0,0.0,0.0,0.0
4402,1.0,1.0,1.0,1.0
4601,,,0.0,0.0
4602,,,,
4901,0.0,0.0,0.0,0.0
4902,1.0,1.0,1.0,1.0
5001,1.0,1.0,1.0,1.0
5002,1.0,1.0,1.0,1.0
5003,,,,
5004,,,,
5005,1.0,1.0,1.0,1.0
5701,1.0,0.0,0.0,0.0
5702,1.0,1.0,1.0,1.0
5703,1.0,1.0,1.0,1.0
5801,1.0,1.0,1.0,0.0
5802,0.0,0.0,0.0,0.0
5803,1.0,1.0,1.0,1.0
6101,1.0,1.0,1.0,1.0
6102,1.0,1.0,1.0,1.0
6103,1.0,1.0,1.0,1.0
6201,1.0,1.0,1.0,1.0
6202,1.0,1.0,1.0,1.0
6203,1.0,1.0,1.0,1.0
6801,1.0,1.0,1.0,1.0
6802,1.0,1.0,1.0,1.0
6803,1.0,1.0,1.0,1.0
7501,,,,
7502,,,,
7801,1.0,1.0,1.0,1.0
7802,,,0.0,0.0
7803,0.0,0.0,0.0,
7804,,,,
8601,1.0,1.0,1.0,0.0
8901,0.0,0.0,0.0,0.0
9101,1.0,1.0,1.0,1.0
9102,1.0,1.0,1.0,1.0
9201,1.0,0.0,0.0,1.0
9202,0.0,0.0,0.0,
9501,1.0,1.0,1.0,1.0
9502,1.0,1.0,1.0,1.0
9503,1.0,1.0,1.0,1.0
9601,1.0,1.0,1.0,1.0
9602,1.0,1.0,1.0,1.0
9603,1.0,1.0,1.0,1.0
9701,1.0,1.0,1.0,1.0
9702,1.0,1.0,1.0,1.0
9801,1.0,1.0,1.0,1.0
9802,1.0,1.0,1.0,1.0
9803,1.0,1.0,1.0,1.0
9901,1.0,1.0,1.0,1.0
9902,1.0,1.0,1.0,1.0
10001,0.0,0.0,1.0,0.0
10002,1.0,1.0,1.0,1.0
10003,1.0,1.0,1.0,1.0
10201,1.0,1.0,1.0,1.0
11101,1.0,0.0,0.0,0.0
11102,1.0,0.0,0.0,1.0
11103,1.0,1.0,1.0,1.0
11201,1.0,1.0,1.0,0.0
11202,1.0,1.0,1.0,1.0
11501,,,,
11502,,,,
11503,,,,
11504,,,,
11801,,,,
11802,0.0,0.0,0.0,
12101,1.0,1.0,1.0,1.0
12401,1.0,1.0,1.0,1.0
12402,1.0,1.0,1.0,1.0
12801,1.0,0.0,0.0,0.0
12802,1.0,1.0,1.0,1.0
13301,1.0,1.0,1.0,1.0
13701,1.0,1.0,1.0,1.0
13702,1.0,1.0,1.0,1.0
13801,1.0,1.0,1.0,1.0
13802,1.0,1.0,1.0,1.0
13803,1.0,1.0,1.0,1.0
14001,1.0,1.0,1.0,1.0
14301,,,0.0,0.0
14302,1.0,1.0,1.0,1.0
14303,1.0,1.0,1.0,1.0
14304,1.0,1.0,1.0,1.0
14401,1.0,1.0,1.0,1.0
14402,1.0,1.0,1.0,1.0
14403,1.0,1.0,1.0,1.0
14701,1.0,1.0,1.0,1.0
14702,1.0,1.0,1.0,1.0
14901,1.0,1.0,1.0,1.0
14902,1.0,1.0,1.0,1.0
15301,1.0,1.0,1.0,1.0
15302,1.0,1.0,1.0,1.0
15701,0.0,0.0,0.0,
15702,0.0,0.0,0.0,
15801,,,0.0,0.0
15802,,,0.0,0.0
15901,0.0,0.0,0.0,
15902,0.0,0.0,0.0,
15903,0.0,0.0,0.0,
15904,0.0,0.0,0.0,
15905,0.0,0.0,0.0,
16001,1.0,1.0,1.0,1.0
16101,1.0,1.0,1.0,1.0
16102,1.0,1.0,1.0,1.0
16501,1.0,1.0,1.0,1.0
16502,1.0,1.0,1.0,1.0
16503,1.0,1.0,1.0,1.0
16701,1.0,1.0,1.0,1.0
16702,1.0,1.0,1.0,1.0
17201,1.0,1.0,1.0,1.0
17401,1.0,1.0,1.0,1.0
17402,1.0,1.0,1.0,1.0
17501,0.0,0.0,0.0,0.0
17502,0.0,0.0,0.0,0.0
17503,1.0,1.0,1.0,1.0
17504,1.0,1.0,1.0,1.0
17901,1.0,0.0,0.0,0.0
17902,0.0,0.0,0.0,0.0
18001,1.0,1.0,1.0,1.0
18002,1.0,0.0,0.0,0.0
18003,1.0,1.0,1.0,1.0
18301,1.0,1.0,1.0,1.0
18302,1.0,1.0,1.0,1.0
18303,1.0,1.0,1.0,1.0
18401,1.0,1.0,1.0,1.0
18601,1.0,1.0,1.0,1.0
18801,1.0,1.0,1.0,1.0
19001,1.0,1.0,1.0,1.0
19201,1.0,1.0,1.0,1.0
19202,1.0,1.0,1.0,1.0
19203,1.0,1.0,1.0,1.0
19701,1.0,1.0,1.0,1.0
19702,1.0,1.0,1.0,1.0
20001,1.0,1.0,1.0,1.0
20002,1.0,1.0,1.0,1.0
20301,,,,
20302,1.0,1.0,1.0,1.0
20401,,,0.0,0.0
20402,1.0,1.0,1.0,1.0
20501,0.0,0.0,0.0,0.0
20502,0.0,0.0,0.0,
20503,1.0,1.0,1.0,1.0
20801,0.0,0.0,0.0,1.0
21101,1.0,1.0,1.0,1.0
21102,1.0,1.0,1.0,1.0
21103,1.0,1.0,1.0,1.0
21104,1.0,1.0,1.0,1.0
22101,1.0,1.0,1.0,1.0
22102,1.0,1.0,1.0,1.0
22103,1.0,1.0,1.0,1.0
22104,1.0,1.0,1.0,1.0
22401,0.0,0.0,0.0,0.0
22402,0.0,0.0,0.0,0.0
22403,1.0,0.0,1.0,1.0
22701,1.0,1.0,1.0,1.0
22702,1.0,1.0,1.0,0.0
22703,1.0,1.0,1.0,1.0
22704,1.0,1.0,1.0,1.0
22801,1.0,0.0,0.0,0.0
22802,1.0,1.0,1.0,1.0
22803,1.0,1.0,1.0,1.0
22804,1.0,1.0,1.0,1.0
22901,1.0,1.0,1.0,1.0
23101,1.0,1.0,1.0,1.0
23102,1.0,1.0,1.0,1.0
23601,1.0,1.0,1.0,1.0
23602,1.0,1.0,1.0,1.0
23603,1.0,1.0,1.0,1.0
23701,1.0,0.0,0.0,0.0
23901,1.0,1.0,1.0,0.0
23902,1.0,1.0,1.0,1.0
23903,1.0,1.0,1.0,1.0
24001,1.0,1.0,1.0,1.0
24002,1.0,1.0,1.0,1.0
24201,1.0,1.0,1.0,1.0
24401,0.0,0.0,0.0,0.0
24402,1.0,0.0,0.0,1.0
24403,1.0,1.0,1.0,1.0
24501,1.0,1.0,1.0,1.0
24502,1.0,1.0,1.0,1.0
24503,1.0,1.0,1.0,1.0
24901,1.0,1.0,1.0,1.0
24902,1.0,1.0,1.0,1.0
24903,1.0,1.0,1.0,1.0
24904,1.0,1.0,1.0,1.0
25001,1.0,1.0,1.0,0.0
25002,1.0,1.0,1.0,1.0
25201,0.0,0.0,0.0,0.0
25202,1.0,1.0,1.0,1.0
25401,1.0,1.0,1.0,0.0
25402,1.0,1.0,1.0,0.0
25403,1.0,1.0,1.0,1.0
25404,1.0,1.0,1.0,1.0
25405,1.0,1.0,1.0,1.0
25501,0.0,0.0,0.0,0.0
25502,1.0,1.0,1.0,1.0
25503,1.0,1.0,1.0,1.0
25504,1.0,1.0,1.0,1.0
25505,1.0,1.0,1.0,1.0
25601,0.0,0.0,0.0,1.0
25602,1.0,1.0,1.0,1.0
25801,1.0,1.0,1.0,0.0
25802,0.0,0.0,0.0,0.0
25803,1.0,1.0,1.0,1.0
26201,0.0,0.0,0.0,0.0
26202,,,,
26501,1.0,1.0,1.0,1.0
26502,0.0,0.0,1.0,0.0
26503,1.0,1.0,1.0,1.0
26504,0.0,0.0,1.0,0.0
27201,1.0,1.0,1.0,1.0
27202,1.0,1.0,1.0,1.0
27203,1.0,1.0,1.0,1.0
27204,1.0,1.0,1.0,1.0
27501,1.0,1.0,1.0,1.0
27502,1.0,1.0,1.0,1.0
27801,1.0,1.0,1.0,1.0
27802,1.0,1.0,1.0,1.0
27803,1.0,1.0,1.0,1.0
27804,,,,
28201,1.0,1.0,1.0,1.0
28202,1.0,1.0,1.0,1.0
28501,1.0,0.0,1.0,0.0
28502,1.0,1.0,1.0,0.0
28503,1.0,1.0,1.0,1.0
28701,1.0,0.0,0.0,0.0
28702,1.0,1.0,1.0,1.0
28801,1.0,1.0,1.0,1.0
28802,1.0,1.0,1.0,1.0
28803,1.0,1.0,1.0,1.0
28804,1.0,1.0,1.0,1.0
28805,1.0,1.0,1.0,1.0
28806,1.0,1.0,1.0,1.0
28901,0.0,0.0,0.0,0.0
28902,1.0,1.0,1.0,1.0
29001,1.0,1.0,1.0,0.0
29002,1.0,0.0,1.0,1.0
29201,1.0,1.0,1.0,1.0
29202,1.0,1.0,1.0,1.0
29301,1.0,1.0,1.0,1.0
29302,1.0,1.0,1.0,1.0
29401,0.0,0.0,0.0,
29402,,,,
29403,,,,
29701,1.0,1.0,1.0,1.0
29702,1.0,1.0,1.0,1.0
29801,1.0,0.0,0.0,0.0
29802,,,,
30501,,,,
30502,,,,
31201,1.0,1.0,1.0,1.0
31202,1.0,1.0,1.0,1.0
31401,0.0,0.0,1.0,0.0
31402,1.0,0.0,0.0,1.0
31403,,,0.0,0.0
31404,0.0,0.0,0.0,
31405,0.0,0.0,0.0,
32101,1.0,1.0,1.0,1.0
32102,1.0,1.0,1.0,1.0
32103,,,0.0,0.0
32201,1.0,1.0,1.0,1.0
32202,0.0,0.0,0.0,0.0
32203,0.0,0.0,0.0,
33301,0.0,0.0,1.0,0.0
33302,1.0,1.0,1.0,1.0
33501,1.0,1.0,1.0,1.0
33801,1.0,0.0,0.0,0.0
33802,,,0.0,0.0
33901,0.0,0.0,1.0,0.0
34001,0.0,0.0,0.0,1.0
34002,1.0,1.0,1.0,0.0
34003,0.0,0.0,0.0,0.0
34301,1.0,1.0,1.0,0.0
34401,1.0,1.0,1.0,1.0
34402,1.0,1.0,1.0,1.0
34501,,,,
34701,1.0,1.0,1.0,1.0
34702,0.0,0.0,1.0,0.0
35401,1.0,1.0,1.0,1.0
35402,1.0,1.0,1.0,1.0
36501,,,,
36502,,,,
36503,,,,
36504,,,,
36505,,,,
36901,1.0,1.0,1.0,1.0
36902,1.0,1.0,1.0,1.0
37101,1.0,0.0,0.0,
37102,,,,
37103,0.0,0.0,0.0,
37301,1.0,1.0,1.0,1.0
37302,1.0,1.0,1.0,0.0
37401,1.0,1.0,1.0,0.0
37402,1.0,1.0,1.0,1.0
37403,1.0,1.0,1.0,1.0
37901,0.0,0.0,1.0,0.0
37902,1.0,0.0,0.0,0.0
37903,1.0,1.0,1.0,1.0
38201,0.0,0.0,0.0,0.0
38202,1.0,1.0,1.0,0.0
38501,1.0,1.0,1.0,1.0
38502,1.0,1.0,1.0,1.0
38503,1.0,1.0,1.0,1.0
38801,1.0,1.0,1.0,1.0
38802,1.0,1.0,1.0,1.0
38803,1.0,1.0,1.0,1.0
38901,0.0,0.0,0.0,0.0
38902,,,,
39001,0.0,0.0,0.0,
39002,1.0,1.0,1.0,1.0
39003,1.0,1.0,1.0,1.0
39004,1.0,1.0,1.0,1.0
39101,1.0,1.0,1.0,0.0
39102,1.0,1.0,1.0,1.0
39103,1.0,1.0,1.0,1.0
39501,1.0,1.0,1.0,1.0
39502,1.0,1.0,1.0,1.0
39701,0.0,0.0,0.0,0.0
39702,1.0,1.0,1.0,0.0
39703,1.0,1.0,1.0,1.0
39704,1.0,0.0,0.0,
39901,1.0,1.0,1.0,1.0
40001,1.0,1.0,1.0,1.0
40101,1.0,1.0,1.0,0.0
40102,1.0,1.0,1.0,1.0
40201,1.0,0.0,0.0,1.0
40202,1.0,1.0,1.0,1.0
40203,1.0,1.0,1.0,1.0
40501,1.0,1.0,1.0,1.0
40502,1.0,1.0,1.0,1.0
40503,1.0,1.0,1.0,1.0
40701,1.0,1.0,1.0,1.0
40702,1.0,1.0,1.0,1.0
41401,1.0,1.0,1.0,1.0
41402,1.0,1.0,1.0,1.0
41601,1.0,1.0,1.0,1.0
41602,1.0,1.0,1.0,1.0
41603,1.0,1.0,1.0,1.0
41604,1.0,1.0,1.0,1.0
41801,1.0,1.0,1.0,1.0
42301,1.0,1.0,1.0,1.0
42302,1.0,1.0,1.0,1.0
42501,1.0,0.0,1.0,1.0
42502,1.0,1.0,1.0,0.0
42503,1.0,1.0,1.0,0.0
42504,1.0,1.0,1.0,1.0
42505,1.0,1.0,1.0,1.0
42701,1.0,0.0,0.0,
42801,0.0,0.0,1.0,1.0
42802,1.0,1.0,1.0,1.0
43101,1.0,1.0,1.0,1.0
43102,1.0,1.0,1.0,1.0
43103,1.0,1.0,1.0,1.0
43701,1.0,0.0,1.0,1.0
43702,1.0,0.0,1.0,0.0
43703,1.0,1.0,1.0,1.0
43801,1.0,1.0,1.0,1.0
43901,1.0,1.0,1.0,1.0
43902,1.0,1.0,1.0,1.0
44201,1.0,1.0,1.0,0.0
44202,0.0,0.0,0.0,0.0
44203,1.0,1.0,1.0,0.0
44401,1.0,1.0,1.0,1.0
44402,1.0,1.0,1.0,1.0
44601,0.0,0.0,0.0,0.0
44602,1.0,1.0,1.0,1.0
44901,1.0,1.0,1.0,1.0
44902,1.0,1.0,1.0,1.0
45201,1.0,1.0,1.0,1.0
45202,0.0,0.0,0.0,
45501,1.0,1.0,1.0,1.0
45502,1.0,1.0,1.0,1.0
45801,1.0,1.0,1.0,1.0
45901,1.0,1.0,1.0,1.0
45902,1.0,1.0,1.0,1.0
45903,1.0,1.0,1.0,1.0
46201,1.0,1.0,1.0,1.0
46501,1.0,1.0,1.0,1.0
46701,1.0,1.0,1.0,1.0
46702,1.0,1.0,1.0,1.0
47101,1.0,1.0,1.0,0.0
47102,1.0,0.0,0.0,0.0
47201,1.0,1.0,1.0,1.0
47401,1.0,1.0,1.0,1.0
47402,1.0,1.0,1.0,1.0
47403,1.0,1.0,1.0,1.0
47501,1.0,1.0,1.0,1.0
47601,1.0,1.0,1.0,1.0
47602,1.0,1.0,1.0,1.0
47801,0.0,0.0,0.0,0.0
47802,0.0,0.0,0.0,0.0
48501,,,,
48502,1.0,1.0,1.0,1.0
48503,1.0,1.0,1.0,1.0
49101,,,,
49102,,,,
49201,1.0,1.0,1.0,1.0
49202,1.0,1.0,1.0,1.0
49203,1.0,1.0,1.0,1.0
49401,,,,
49402,0.0,0.0,0.0,
49501,1.0,1.0,1.0,1.0
49502,1.0,1.0,1.0,1.0
49901,1.0,0.0,0.0,0.0
50101,1.0,1.0,1.0,1.0
50102,1.0,1.0,1.0,1.0
50301,0.0,0.0,0.0,
50302,0.0,0.0,0.0,
50303,1.0,1.0,1.0,1.0
50401,,,,
50402,1.0,1.0,1.0,1.0
50403,1.0,1.0,1.0,1.0
50601,1.0,1.0,1.0,1.0
50701,1.0,1.0,1.0,1.0
50702,1.0,1.0,1.0,1.0
51401,1.0,1.0,1.0,1.0
51402,1.0,1.0,1.0,1.0
51403,1.0,1.0,1.0,1.0
51501,,,,
51502,,,,
51901,1.0,1.0,1.0,1.0
52201,1.0,1.0,1.0,1.0
52202,1.0,1.0,1.0,1.0
52501,0.0,0.0,0.0,
52502,,,,
52801,1.0,0.0,0.0,1.0
52802,1.0,1.0,1.0,1.0
52901,1.0,0.0,0.0,
52902,0.0,0.0,0.0,
52903,0.0,0.0,0.0,
53001,,,,
53002,1.0,1.0,1.0,1.0
53003,1.0,1.0,1.0,1.0
53201,,,,
53202,,,,
53301,1.0,1.0,1.0,1.0
53601,1.0,1.0,1.0,1.0
53602,1.0,1.0,1.0,1.0
54201,1.0,1.0,1.0,1.0
54202,1.0,1.0,1.0,1.0
54401,1.0,1.0,1.0,1.0
54601,1.0,1.0,1.0,1.0
54602,1.0,1.0,1.0,1.0
54801,0.0,0.0,0.0,0.0
54802,1.0,1.0,1.0,1.0
54803,1.0,1.0,1.0,1.0
54804,1.0,1.0,1.0,1.0
55001,1.0,1.0,1.0,0.0
55002,1.0,1.0,1.0,0.0
55201,1.0,1.0,1.0,1.0
55202,1.0,1.0,1.0,1.0
55701,1.0,1.0,1.0,1.0
55702,1.0,1.0,1.0,1.0
55703,1.0,1.0,1.0,1.0
55704,1.0,1.0,1.0,1.0
55801,1.0,1.0,1.0,1.0
55802,1.0,1.0,1.0,1.0
55803,1.0,1.0,1.0,1.0
56301,0.0,0.0,0.0,0.0
56302,0.0,0.0,0.0,0.0
56303,1.0,1.0,1.0,1.0
56701,1.0,1.0,1.0,1.0
56702,1.0,1.0,1.0,1.0
56801,1.0,1.0,1.0,1.0
57201,,,,
57401,,,,
57601,1.0,1.0,1.0,1.0
57602,1.0,1.0,1.0,1.0
57603,1.0,1.0,1.0,1.0
57604,1.0,1.0,1.0,1.0
57901,1.0,1.0,1.0,1.0
57902,1.0,1.0,1.0,1.0
58201,1.0,1.0,1.0,1.0
58501,1.0,1.0,1.0,0.0
58502,1.0,1.0,1.0,1.0
58503,1.0,1.0,1.0,1.0
58504,1.0,1.0,1.0,1.0
58505,1.0,1.0,1.0,1.0
58801,1.0,1.0,1.0,0.0
