C0000100,severity_worst,severity_label,total_convictions_63,total_conviction_types,total_probation,total_incarcerated,target_violent_ever,target_property_ever,target_violent_first_event_year,target_property_first_event_year
201,0,none,0.0,0.0,0.0,0.0,0.0,,,
202,0,none,0.0,0.0,0.0,0.0,,,,
301,1,mild,1.0,1.0,0.0,0.0,1.0,0.0,1998.0,
302,1,mild,0.0,1.0,1.0,1.0,0.0,0.0,,
303,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
401,1,mild,1.0,1.0,0.0,0.0,1.0,1.0,1996.0,1996.0
403,0,none,0.0,0.0,0.0,0.0,,,,
801,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
802,3,major,3.0,2.0,2.0,0.0,1.0,1.0,1992.0,1994.0
803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,1996.0
1001,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
1002,0,none,0.0,0.0,0.0,0.0,,,,
1201,0,none,0.0,0.0,0.0,0.0,,,,
1202,0,none,0.0,0.0,0.0,0.0,,,,
1601,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2006.0,2006.0
1602,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
1603,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2012.0
1901,0,none,0.0,0.0,0.0,0.0,0.0,,,
2001,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
2501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
2502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
2701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
2702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
3001,0,none,0.0,0.0,0.0,0.0,0.0,,,
3002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
3003,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
3501,0,none,0.0,0.0,0.0,0.0,,,,
3502,0,none,0.0,0.0,0.0,0.0,,,,
3701,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
4301,0,none,0.0,0.0,1.0,0.0,0.0,0.0,,
4302,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
4303,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
4304,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
4401,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
4402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
4601,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
4602,0,none,0.0,0.0,0.0,0.0,,,,
4901,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
4902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
5001,3,major,0.0,1.0,2.0,0.0,1.0,1.0,1998.0,1998.0
5002,1,mild,0.0,1.0,0.0,0.0,1.0,1.0,2002.0,2002.0
5003,0,none,0.0,0.0,0.0,0.0,,,,
5004,0,none,0.0,0.0,0.0,0.0,,,,
5005,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
5701,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
5702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
5703,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2014.0
5801,0,none,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,
5802,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
5803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
6101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
6102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
6103,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
6201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
6202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2014.0
6203,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
6801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
6802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
6803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
7501,0,none,0.0,0.0,0.0,0.0,,,,
7502,0,none,0.0,0.0,0.0,0.0,,,,
7801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2000.0
7802,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
7803,0,none,0.0,0.0,0.0,0.0,0.0,,,
7804,0,none,0.0,0.0,0.0,0.0,,,,
8601,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
8901,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
9101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
9102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2012.0
9201,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1998.0
9202,0,none,0.0,0.0,0.0,0.0,0.0,,,
9501,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2002.0,2002.0
9502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
9503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2004.0
9601,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1992.0,1996.0
9602,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,2002.0
9603,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2014.0
9701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,2002.0
9702,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2000.0,2004.0
9801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
9802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
9803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
9901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
9902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
10001,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,
10002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
10003,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
10201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
11101,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
11102,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1998.0
11103,1,mild,0.0,1.0,4.0,2.0,1.0,1.0,2002.0,2002.0
11201,0,none,0.0,0.0,1.0,0.0,1.0,0.0,1994.0,
11202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
11501,0,none,0.0,0.0,0.0,0.0,,,,
11502,0,none,0.0,0.0,0.0,0.0,,,,
11503,0,none,0.0,0.0,0.0,0.0,,,,
11504,0,none,0.0,0.0,0.0,0.0,,,,
11801,0,none,0.0,0.0,0.0,0.0,,,,
11802,0,none,0.0,0.0,0.0,0.0,0.0,,,
12101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
12401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
12402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2006.0
12801,0,none,0.0,0.0,1.0,0.0,0.0,0.0,,
12802,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2002.0,2002.0
13301,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
13701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2000.0
13702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
13801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2004.0
13802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
13803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
14001,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
14301,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
14302,2,intermediate,0.0,4.0,4.0,5.0,1.0,1.0,2004.0,2004.0
14303,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2006.0
14304,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2006.0
14401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
14402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
14403,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
14701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
14702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2006.0
14901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2006.0
14902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2006.0
15301,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
15302,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2002.0,2002.0
15701,0,none,0.0,0.0,0.0,0.0,0.0,,,
15702,0,none,0.0,0.0,0.0,0.0,0.0,,,
15801,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
15802,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
15901,0,none,0.0,0.0,0.0,0.0,0.0,,,
15902,0,none,0.0,0.0,0.0,0.0,0.0,,,
15903,0,none,0.0,0.0,0.0,0.0,0.0,,,
15904,0,none,0.0,0.0,0.0,0.0,0.0,,,
15905,0,none,0.0,0.0,0.0,0.0,0.0,,,
16001,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
16101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
16102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
16501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
16502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
16503,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2010.0,2014.0
16701,2,intermediate,0.0,2.0,1.0,0.0,1.0,1.0,1998.0,2002.0
16702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
17201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
17401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
17402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
17501,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
17502,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
17503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
17504,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
17901,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
17902,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
18001,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1994.0,1992.0
18002,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
18003,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
18301,3,major,0.0,2.0,1.0,1.0,1.0,1.0,1998.0,1996.0
18302,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
18303,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
18401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2014.0
18601,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
18801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,2002.0
19001,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2010.0,2010.0
19201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
19202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
19203,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2014.0
19701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2004.0
19702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
20001,2,intermediate,1.0,1.0,0.0,0.0,1.0,1.0,1996.0,1998.0
20002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
20301,0,none,0.0,0.0,0.0,0.0,,,,
20302,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
20401,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
20402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
20501,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
20502,0,none,0.0,0.0,0.0,0.0,0.0,,,
20503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
20801,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1988.0
21101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
21102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2012.0
21103,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2014.0
21104,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
22101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2000.0
22102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,1998.0
22103,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
22104,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
22401,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
22402,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
22403,0,none,0.0,0.0,1.0,1.0,1.0,1.0,1990.0,1992.0
22701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,1988.0
22702,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
22703,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2002.0,2002.0
22704,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
22801,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
22802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2000.0
22803,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2000.0,2002.0
22804,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2004.0
22901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
23101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
23102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
23601,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
23602,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
23603,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2010.0,2010.0
23701,0,none,0.0,0.0,1.0,0.0,0.0,0.0,,
23901,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1992.0,
23902,1,mild,0.0,1.0,2.0,1.0,1.0,1.0,1994.0,1994.0
23903,0,none,0.0,0.0,2.0,1.0,1.0,1.0,2002.0,2002.0
24001,0,none,0.0,0.0,1.0,0.0,1.0,1.0,1996.0,2002.0
24002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
24201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
24401,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
24402,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1998.0
24403,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
24501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2008.0
24502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
24503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2014.0
24901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,1994.0
24902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
24903,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
24904,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
25001,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
25002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
25201,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
25202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
25401,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
25402,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,
25403,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
25404,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
25405,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2010.0
25501,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
25502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1994.0,2002.0
25503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
25504,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
25505,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
25601,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1992.0
25602,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2014.0
25801,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1996.0,
25802,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
25803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
26201,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
26202,0,none,0.0,0.0,0.0,0.0,,,,
26501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
26502,0,none,0.0,0.0,0.0,0.0,1.0,0.0,2002.0,
26503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
26504,0,none,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,
27201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,2002.0
27202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
27203,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
27204,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
27501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
27502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2006.0
27801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
27802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2006.0
27803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
27804,0,none,0.0,0.0,0.0,0.0,,,,
28201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2006.0
28202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
28501,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1988.0,
28502,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1992.0,
28503,0,none,0.0,0.0,2.0,2.0,1.0,1.0,2000.0,2002.0
28701,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
28702,1,mild,0.0,1.0,0.0,0.0,1.0,1.0,2006.0,2006.0
28801,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1992.0,1994.0
