C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
201,2.0,3.0,2.0,1993.0,1.0,34.0,,,,,,,,0,,,,,False,,15,2008.0
202,2.0,3.0,2.0,1994.0,2.0,35.0,,,,,,,,0,,,,,False,,15,2009.0
301,3.0,3.0,2.0,1981.0,1.0,19.0,15.0,31.0,6.0,3.0,True,3.0,1996;1998;2002,1,17.0,,17.0,1998,True,0.0,15,1996.0
302,3.0,3.0,2.0,1983.0,2.0,22.0,17.0,27.0,4.0,3.0,True,3.0,2000;2002;2008,0,,,,,True,0.0,15,1998.0
303,3.0,3.0,2.0,1986.0,3.0,24.0,16.0,26.0,4.0,3.0,True,3.0,2002;2008;2010,0,,,,,True,0.0,15,2001.0
401,4.0,3.0,1.0,1980.0,1.0,18.0,10.0,18.0,3.0,2.0,False,2.0,1996;1998,2,16.0,18.0,18.0,1996;1998,False,,15,1995.0
403,4.0,3.0,2.0,1997.0,2.0,34.0,,,,,,,,0,,,,,False,,15,2012.0
801,8.0,3.0,2.0,1976.0,1.0,17.0,12.0,34.0,10.0,3.0,True,3.0,1994;1996;2000,3,18.0,20.0,24.0,1994;1996;2000,True,1.0,15,1991.0
802,8.0,3.0,1.0,1979.0,2.0,20.0,11.0,33.0,10.0,6.0,True,6.0,1994;1996;1998;2000;2002;2004,4,15.0,17.0,21.0,1994;1996;1998;2000,True,1.0,15,1994.0
803,8.0,3.0,2.0,1982.0,3.0,24.0,16.0,30.0,8.0,5.0,True,5.0,1998;2000;2002;2004;2006,1,18.0,,18.0,2000,True,0.0,15,1997.0
1001,10.0,3.0,2.0,1983.0,1.0,22.0,19.0,29.0,3.0,1.0,True,1.0,2002,0,,,,,True,0.0,15,1998.0
1002,10.0,3.0,2.0,1988.0,2.0,27.0,,,,,,,,0,,,,,False,,15,2003.0
1201,12.0,3.0,1.0,1989.0,1.0,30.0,,,,,,,,0,,,,,False,,15,2004.0
1202,12.0,3.0,1.0,1993.0,2.0,33.0,,,,,,,,0,,,,,False,,15,2008.0
1601,16.0,3.0,1.0,1990.0,1.0,31.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
1602,16.0,3.0,1.0,1993.0,2.0,34.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,2,15.0,17.0,17.0,2008;2010,False,,15,2008.0
1603,16.0,3.0,2.0,1996.0,3.0,37.0,16.0,16.0,1.0,1.0,False,1.0,2012,1,16.0,,16.0,2012,False,,15,2011.0
1901,19.0,3.0,2.0,1987.0,1.0,29.0,23.0,23.0,1.0,1.0,False,1.0,2010,0,,,,,False,,15,2002.0
2001,20.0,3.0,2.0,1990.0,1.0,30.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
2501,25.0,3.0,1.0,1990.0,1.0,30.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
2502,25.0,3.0,2.0,1993.0,2.0,33.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
2701,27.0,3.0,2.0,1988.0,1.0,27.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
2702,27.0,3.0,1.0,1992.0,2.0,31.0,18.0,20.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2007.0
3001,30.0,3.0,1.0,1982.0,1.0,24.0,20.0,30.0,5.0,2.0,True,2.0,2002;2006,0,,,,,True,0.0,15,1997.0
3002,30.0,3.0,1.0,1987.0,2.0,28.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
3003,30.0,3.0,1.0,1991.0,3.0,32.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
3501,35.0,3.0,2.0,1990.0,1.0,26.0,,,,,,,,0,,,,,False,,15,2005.0
3502,35.0,3.0,2.0,1993.0,2.0,29.0,,,,,,,,0,,,,,False,,15,2008.0
