C0000100,C0005700,predictor_cutoff_year,persistent_violence_contact_age15_25,n_original_bol_features_pre15_by_year
301,1981.0,1996.0,0.0,155
302,1983.0,1998.0,0.0,201
303,1986.0,2001.0,0.0,283
801,1976.0,1991.0,1.0,81
802,1979.0,1994.0,1.0,105
803,1982.0,1997.0,0.0,201
1001,1983.0,1998.0,0.0,201
3001,1982.0,1997.0,0.0,201
3002,1987.0,2002.0,0.0,283
4301,1982.0,1997.0,0.0,201
4401,1981.0,1996.0,0.0,155
4402,1985.0,2000.0,0.0,250
4901,1982.0,1997.0,0.0,201
4902,1987.0,2002.0,0.0,283
5001,1985.0,2000.0,1.0,250
5701,1979.0,1994.0,0.0,105
5801,1981.0,1996.0,0.0,155
5802,1984.0,1999.0,0.0,250
8601,1977.0,1992.0,0.0,82
9201,1982.0,1997.0,0.0,201
9501,1985.0,2000.0,0.0,250
9502,1987.0,2002.0,0.0,283
9601,1980.0,1995.0,0.0,150
9602,1986.0,2001.0,0.0,283
9701,1987.0,2002.0,0.0,283
9801,1987.0,2002.0,0.0,283
9901,1987.0,2002.0,0.0,283
11101,1982.0,1997.0,0.0,201
11102,1983.0,1998.0,0.0,201
11201,1982.0,1997.0,0.0,201
12801,1982.0,1997.0,0.0,201
12802,1986.0,2001.0,0.0,283
14701,1987.0,2002.0,0.0,283
15301,1985.0,2000.0,0.0,250
15302,1986.0,2001.0,0.0,283
15702,1987.0,2002.0,0.0,283
15901,1985.0,2000.0,0.0,250
15902,1987.0,2002.0,0.0,283
17401,1985.0,2000.0,0.0,250
17501,1982.0,1997.0,0.0,201
17502,1983.0,1998.0,0.0,201
17503,1986.0,2001.0,0.0,283
17901,1981.0,1996.0,0.0,155
17902,1983.0,1998.0,0.0,201
18001,1978.0,1993.0,1.0,105
18002,1982.0,1997.0,0.0,201
18003,1984.0,1999.0,0.0,250
18301,1984.0,1999.0,0.0,250
18801,1985.0,2000.0,0.0,250
20001,1983.0,1998.0,1.0,201
20002,1987.0,2002.0,0.0,283
20402,1984.0,1999.0,0.0,250
20501,1978.0,1993.0,0.0,105
20502,1981.0,1996.0,0.0,155
20503,1986.0,2001.0,0.0,283
20801,1975.0,1990.0,0.0,53
22101,1986.0,2001.0,1.0,283
22102,1987.0,2002.0,0.0,283
22401,1974.0,1989.0,0.0,53
22402,1977.0,1992.0,0.0,82
22403,1979.0,1994.0,0.0,105
22701,1975.0,1990.0,0.0,53
22702,1977.0,1992.0,0.0,82
22703,1985.0,2000.0,0.0,250
22801,1980.0,1995.0,0.0,150
22802,1986.0,2001.0,0.0,283
23701,1981.0,1996.0,0.0,155
23901,1980.0,1995.0,1.0,150
23903,1984.0,1999.0,0.0,250
24001,1984.0,1999.0,0.0,250
24002,1986.0,2001.0,0.0,283
24201,1986.0,2001.0,0.0,283
24401,1975.0,1990.0,0.0,53
24402,1979.0,1994.0,0.0,105
24901,1982.0,1997.0,0.0,201
24902,1984.0,1999.0,0.0,250
25001,1982.0,1997.0,0.0,201
25002,1986.0,2001.0,0.0,283
25201,1983.0,1998.0,0.0,201
25401,1981.0,1996.0,1.0,155
25402,1982.0,1997.0,0.0,201
25502,1984.0,1999.0,0.0,250
25503,1987.0,2002.0,0.0,283
25601,1980.0,1995.0,0.0,150
25801,1980.0,1995.0,0.0,150
25802,1981.0,1996.0,0.0,155
26201,1985.0,2000.0,0.0,250
27201,1984.0,1999.0,0.0,250
27801,1987.0,2002.0,0.0,283
28501,1977.0,1992.0,0.0,82
28502,1981.0,1996.0,1.0,155
28503,1985.0,2000.0,1.0,250
28701,1981.0,1996.0,0.0,155
28801,1979.0,1994.0,0.0,105
28802,1986.0,2001.0,0.0,283
28901,1981.0,1996.0,0.0,155
28902,1985.0,2000.0,0.0,250
29001,1979.0,1994.0,0.0,105
29002,1983.0,1998.0,0.0,201
29301,1985.0,2000.0,0.0,250
29401,1983.0,1998.0,0.0,201
29701,1978.0,1993.0,1.0,105
31201,1983.0,1998.0,1.0,201
31202,1985.0,2000.0,0.0,250
31401,1981.0,1996.0,0.0,155
31402,1983.0,1998.0,0.0,201
31404,1986.0,2001.0,0.0,283
33301,1980.0,1995.0,0.0,150
33801,1980.0,1995.0,0.0,150
33901,1981.0,1996.0,0.0,155
34001,1981.0,1996.0,0.0,155
34002,1983.0,1998.0,0.0,201
34301,1978.0,1993.0,0.0,105
37301,1981.0,1996.0,1.0,155
37302,1983.0,1998.0,1.0,201
37401,1980.0,1995.0,0.0,150
37402,1983.0,1998.0,0.0,201
37901,1983.0,1998.0,0.0,201
37902,1985.0,2000.0,0.0,250
37903,1986.0,2001.0,0.0,283
38201,1976.0,1991.0,0.0,81
38202,1983.0,1998.0,0.0,201
38501,1986.0,2001.0,0.0,283
38502,1987.0,2002.0,0.0,283
38801,1987.0,2002.0,0.0,283
39001,1979.0,1994.0,0.0,105
39101,1982.0,1997.0,0.0,201
39102,1985.0,2000.0,1.0,250
39501,1984.0,1999.0,0.0,250
39502,1986.0,2001.0,0.0,283
39701,1976.0,1991.0,0.0,81
39702,1982.0,1997.0,1.0,201
39901,1984.0,1999.0,0.0,250
40101,1982.0,1997.0,1.0,201
40201,1981.0,1996.0,0.0,155
40202,1985.0,2000.0,0.0,250
41401,1986.0,2001.0,0.0,283
41601,1984.0,1999.0,1.0,250
41602,1986.0,2001.0,0.0,283
42501,1976.0,1991.0,0.0,81
42502,1978.0,1993.0,0.0,105
42503,1981.0,1996.0,0.0,155
42701,1980.0,1995.0,0.0,150
42801,1982.0,1997.0,0.0,201
43101,1987.0,2002.0,1.0,283
43701,1981.0,1996.0,0.0,155
43702,1984.0,1999.0,0.0,250
43703,1987.0,2002.0,0.0,283
43801,1987.0,2002.0,0.0,283
44201,1975.0,1990.0,0.0,53
44202,1979.0,1994.0,0.0,105
44203,1982.0,1997.0,0.0,201
44601,1981.0,1996.0,0.0,155
44602,1984.0,1999.0,0.0,250
46501,1984.0,1999.0,1.0,250
46701,1985.0,2000.0,0.0,250
47101,1979.0,1994.0,0.0,105
47102,1981.0,1996.0,0.0,155
47801,1975.0,1990.0,0.0,53
47802,1978.0,1993.0,0.0,105
49901,1981.0,1996.0,0.0,155
50301,1981.0,1996.0,0.0,155
50302,1986.0,2001.0,0.0,283
50701,1985.0,2000.0,0.0,250
50702,1987.0,2002.0,0.0,283
51401,1986.0,2001.0,1.0,283
52201,1978.0,1993.0,1.0,105
52801,1981.0,1996.0,0.0,155
52802,1985.0,2000.0,0.0,250
52901,1982.0,1997.0,0.0,201
52903,1985.0,2000.0,0.0,250
53002,1975.0,1990.0,0.0,53
53003,1977.0,1992.0,1.0,82
53601,1985.0,2000.0,0.0,250
54201,1983.0,1998.0,0.0,201
54601,1981.0,1996.0,0.0,155
54801,1982.0,1997.0,0.0,201
54802,1986.0,2001.0,0.0,283
55001,1980.0,1995.0,0.0,150
55002,1983.0,1998.0,0.0,201
55201,1985.0,2000.0,0.0,250
56301,1979.0,1994.0,0.0,105
56302,1982.0,1997.0,0.0,201
58201,1986.0,2001.0,0.0,283
58501,1979.0,1994.0,1.0,105
58502,1980.0,1995.0,1.0,150
58503,1983.0,1998.0,0.0,201
58801,1979.0,1994.0,0.0,105
58802,1981.0,1996.0,0.0,155
58901,1980.0,1995.0,1.0,150
59001,1978.0,1993.0,0.0,105
59002,1979.0,1994.0,0.0,105
59003,1981.0,1996.0,0.0,155
59004,1983.0,1998.0,0.0,201
61101,1983.0,1998.0,0.0,201
61102,1986.0,2001.0,0.0,283
61401,1978.0,1993.0,0.0,105
61402,1982.0,1997.0,0.0,201
61501,1983.0,1998.0,0.0,201
61802,1980.0,1995.0,0.0,150
61901,1975.0,1990.0,0.0,53
61902,1978.0,1993.0,0.0,105
61903,1980.0,1995.0,0.0,150
62101,1987.0,2002.0,0.0,283
62301,1979.0,1994.0,1.0,105
62302,1983.0,1998.0,0.0,201
62701,1976.0,1991.0,1.0,81
62702,1979.0,1994.0,0.0,105
63201,1978.0,1993.0,0.0,105
63202,1980.0,1995.0,0.0,150
63501,1979.0,1994.0,0.0,105
63502,1982.0,1997.0,0.0,201
64001,1985.0,2000.0,0.0,250
65401,1987.0,2002.0,0.0,283
66801,1983.0,1998.0,0.0,201
67701,1985.0,2000.0,0.0,250
68801,1986.0,2001.0,0.0,283
68901,1986.0,2001.0,0.0,283
69201,1981.0,1996.0,0.0,155
69202,1985.0,2000.0,0.0,250
69601,1980.0,1995.0,0.0,150
69801,1977.0,1992.0,1.0,82
69802,1981.0,1996.0,0.0,155
70301,1980.0,1995.0,0.0,150
70302,1986.0,2001.0,0.0,283
70401,1980.0,1995.0,0.0,150
70402,1984.0,1999.0,0.0,250
70601,1976.0,1991.0,0.0,81
70603,1985.0,2000.0,0.0,250
70604,1987.0,2002.0,0.0,283
70801,1980.0,1995.0,0.0,150
71201,1983.0,1998.0,0.0,201
71202,1986.0,2001.0,0.0,283
71301,1987.0,2002.0,1.0,283
72001,1980.0,1995.0,0.0,150
72002,1982.0,1997.0,0.0,201
72101,1986.0,2001.0,0.0,283
72401,1985.0,2000.0,0.0,250
73301,1985.0,2000.0,0.0,250
73302,1985.0,2000.0,0.0,250
73601,1984.0,1999.0,0.0,250
73901,1978.0,1993.0,0.0,105
73902,1980.0,1995.0,0.0,150
73903,1987.0,2002.0,0.0,283
74001,1983.0,1998.0,0.0,201
74401,1980.0,1995.0,0.0,150
74601,1987.0,2002.0,0.0,283
75501,1978.0,1993.0,0.0,105
75502,1981.0,1996.0,0.0,155
75601,1983.0,1998.0,0.0,201
75602,1984.0,1999.0,0.0,250
75701,1980.0,1995.0,1.0,150
75801,1983.0,1998.0,0.0,201
75901,1977.0,1992.0,1.0,82
75902,1982.0,1997.0,0.0,201
76101,1979.0,1994.0,1.0,105
76102,1983.0,1998.0,1.0,201
76401,1982.0,1997.0,0.0,201
76402,1986.0,2001.0,0.0,283
76801,1979.0,1994.0,1.0,105
77001,1980.0,1995.0,1.0,150
77002,1983.0,1998.0,1.0,201
77502,1986.0,2001.0,1.0,283
78301,1981.0,1996.0,0.0,155
78901,1981.0,1996.0,0.0,155
79201,1982.0,1997.0,0.0,201
79202,1985.0,2000.0,0.0,250
80101,1981.0,1996.0,0.0,155
80102,1984.0,1999.0,1.0,250
80103,1987.0,2002.0,0.0,283
80301,1981.0,1996.0,1.0,155
80302,1987.0,2002.0,1.0,283
80401,1986.0,2001.0,0.0,283
80402,1987.0,2002.0,0.0,283
81201,1985.0,2000.0,0.0,250
81202,1987.0,2002.0,0.0,283
81401,1982.0,1997.0,0.0,201
81402,1985.0,2000.0,0.0,250
83001,1979.0,1994.0,0.0,105
83101,1984.0,1999.0,0.0,250
83102,1987.0,2002.0,0.0,283
83401,1983.0,1998.0,0.0,201
83502,1986.0,2001.0,0.0,283
83601,1979.0,1994.0,1.0,105
84101,1981.0,1996.0,1.0,155
84102,1986.0,2001.0,0.0,283
84201,1978.0,1993.0,0.0,105
84301,1982.0,1997.0,0.0,201
84501,1976.0,1991.0,0.0,81
84503,1986.0,2001.0,0.0,283
84801,1979.0,1994.0,0.0,105
85201,1981.0,1996.0,0.0,155
85401,1985.0,2000.0,0.0,250
85501,1983.0,1998.0,0.0,201
85502,1986.0,2001.0,0.0,283
85601,1983.0,1998.0,0.0,201
85602,1985.0,2000.0,0.0,250
86201,1978.0,1993.0,0.0,105
86202,1981.0,1996.0,0.0,155
86601,1985.0,2000.0,0.0,250
86602,1987.0,2002.0,0.0,283
88001,1982.0,1997.0,0.0,201
88002,1984.0,1999.0,0.0,250
88003,1986.0,2001.0,0.0,283
88701,1987.0,2002.0,0.0,283
88901,1979.0,1994.0,0.0,105
88902,1984.0,1999.0,0.0,250
89301,1984.0,1999.0,0.0,250
89302,1986.0,2001.0,0.0,283
89601,1987.0,2002.0,0.0,283
91201,1984.0,1999.0,0.0,250
91202,1987.0,2002.0,0.0,283
91801,1987.0,2002.0,0.0,283
92301,1983.0,1998.0,0.0,201
92302,1987.0,2002.0,0.0,283
92801,1981.0,1996.0,0.0,155
92802,1984.0,1999.0,0.0,250
93003,1979.0,1994.0,0.0,105
93004,1981.0,1996.0,0.0,155
93201,1977.0,1992.0,0.0,82
93202,1980.0,1995.0,0.0,150
93501,1984.0,1999.0,0.0,250
93502,1985.0,2000.0,0.0,250
93601,1986.0,2001.0,0.0,283
93902,1981.0,1996.0,0.0,155
93903,1984.0,1999.0,0.0,250
93904,1986.0,2001.0,0.0,283
94001,1982.0,1997.0,0.0,201
94002,1984.0,1999.0,0.0,250
94901,1983.0,1998.0,0.0,201
94902,1984.0,1999.0,0.0,250
95201,1982.0,1997.0,0.0,201
95301,1978.0,1993.0,0.0,105
95302,1984.0,1999.0,1.0,250
96201,1983.0,1998.0,0.0,201
97502,1985.0,2000.0,0.0,250
97801,1984.0,1999.0,0.0,250
97802,1987.0,2002.0,0.0,283
97901,1981.0,1996.0,0.0,155
97902,1984.0,1999.0,0.0,250
99201,1977.0,1992.0,0.0,82
99202,1979.0,1994.0,0.0,105
99203,1981.0,1996.0,0.0,155
