csv_code,ref_id,variable,survey_year,age_range_in_extract_min,age_range_in_extract_max,item_family,question,full_n,full_observed_n,full_missing_rate,full_positive_n,eligible_window_n,eligible_window_observed_n,eligible_window_missing_rate,eligible_window_positive_n,eligible_window_positive_rate_among_observed
C0730700,C07307.00,CS884221,1988,-26.0,18.0,hurt_need_doctor,Hurt someone bad enough to need a doctor,11551,800,0.9307419271058783,152,35,30,0.1428571428571429,6,0.2
C0942400,C09424.00,CS906613,1990,-24.0,20.0,hurt_need_doctor,Number of times hurt someone enough to need a doctor,11551,1136,0.9016535364903472,235,194,135,0.3041237113402062,31,0.22962962962962963
Y0375300,Y03753.00,YASR-61B,1994,-20.0,24.0,physical_fight,In past year got in fight at school or work,11551,912,0.9210457969007012,288,1103,865,0.21577515865820485,278,0.3213872832369942
Y0375900,Y03759.00,YASR-61I,1994,-20.0,24.0,attacked_to_hurt,In past year attacked someone to seriously hurt them,11551,913,0.9209592243095835,87,1103,866,0.21486854034451497,83,0.09584295612009237
Y0376500,Y03765.00,YASR-61O,1994,-20.0,24.0,hurt_need_doctor,In past year hurt someone enough to need doctor,11551,913,0.9209592243095835,109,1103,866,0.21486854034451497,105,0.12124711316397228
Y0669000,Y06690.00,YASR-61B,1996,-18.0,26.0,physical_fight,In past year got in fight at school or work,11551,1512,0.86910224223011,420,1927,1446,0.2496107939802802,403,0.27869986168741356
Y0669600,Y06696.00,YASR-61I,1996,-18.0,26.0,attacked_to_hurt,In past year attacked someone to seriously hurt them,11551,1514,0.8689290970478747,144,1927,1448,0.24857291126102754,140,0.09668508287292818
Y0670200,Y06702.00,YASR-61O,1996,-18.0,26.0,hurt_need_doctor,In past year hurt someone enough to need doctor,11551,1510,0.8692753874123452,164,1927,1444,0.25064867669953295,159,0.11011080332409973
Y0966400,Y09664.00,YASR-61B,1998,-16.0,28.0,physical_fight,In past year got in fight at school or work,11551,1939,0.8321357458228724,451,2814,1841,0.345771144278607,424,0.23030961434003258
Y0967000,Y09670.00,YASR-61I,1998,-16.0,28.0,attacked_to_hurt,In past year attacked someone to seriously hurt them,11551,1944,0.8317028828672842,141,2814,1845,0.34434968017057566,135,0.07317073170731707
Y0967600,Y09676.00,YASR-61O,1998,-16.0,28.0,hurt_need_doctor,In past year hurt someone enough to need doctor,11551,1946,0.8315297376850489,195,2814,1847,0.34363894811656004,181,0.09799675148890093
Y1176200,Y11762.00,YASR-61B,2000,-14.0,30.0,physical_fight,In last year got in physical fight at school or work,11551,3017,0.7388104925980434,327,3624,2776,0.23399558498896245,303,0.10914985590778098
Y1415900,Y14159.00,YASR-60C,2002,-12.0,32.0,hurt_physically,Times in last year hurt someone physically,11551,1539,0.8667647822699334,206,4144,1363,0.6710907335907336,168,0.12325752017608217
Y1416800,Y14168.00,YASR-61B,2002,-12.0,32.0,physical_fight,In last year got in physical fight at school or work,11551,2694,0.7667734395290451,107,4144,2301,0.44473938223938225,92,0.03998261625380269
Y1667300,Y16673.00,YASR-60C,2004,-10.0,34.0,hurt_physically,Times in last year hurt someone physically,11551,1483,0.8716128473725219,209,3708,561,0.848705501618123,68,0.12121212121212122
Y1668200,Y16682.00,YASR-61B,2004,-10.0,34.0,physical_fight,In last year got in physical fight at school or work,11551,3507,0.6963899229503939,126,3708,2729,0.2640237324703344,105,0.03847563209967021
Y1940600,Y19406.00,YASR-60C,2006,-8.0,36.0,hurt_physically,Times in last year hurt someone physically,11551,1357,0.882520993853346,179,2979,1,0.9996643168848607,0,0.0
Y1941500,Y19415.00,YASR-61B,2006,-8.0,36.0,physical_fight,In last year got in physical fight at school or work,11551,4400,0.6190805990823305,160,2979,2710,0.090298757972474,103,0.03800738007380074
Y2256600,Y22566.00,YASR-60C,2008,-6.0,38.0,hurt_physically,Times in last year hurt someone physically,11551,1143,0.9010475283525236,138,2100,0,1.0,0,
Y2257500,Y22575.00,YASR-61B,2008,-6.0,38.0,physical_fight,In last year got in physical fight at school or work,11551,5082,0.5600380919400918,137,2100,1927,0.08238095238095233,44,0.022833419823559936
Y2608200,Y26082.00,YASR-60C,2010,-4.0,40.0,hurt_physically,Times in last year hurt someone physically,11551,937,0.91888148212276,90,1230,0,1.0,0,
Y2609100,Y26091.00,YASR-61B,2010,-4.0,40.0,physical_fight,In last year got in physical fight at school or work,11551,5093,0.5590857934377975,119,1230,1171,0.047967479674796754,23,0.01964133219470538
Y2958300,Y29583.00,YASR-60C,2012,-2.0,42.0,hurt_physically,Times in last year hurt someone physically,11551,541,0.9531642282053502,32,383,0,1.0,0,
Y2959200,Y29592.00,YASR-61B,2012,-2.0,42.0,physical_fight,In last year got in physical fight at school or work,11551,5208,0.5491299454592675,82,383,383,0.0,3,0.007832898172323759
Y3325701,Y33257.01,YASR-60B-J~000002,2014,0.0,44.0,hurt_physically,Times in last year hurt someone physically,11551,338,0.9707384642022335,22,0,0,,0,
Y3670801,Y36708.01,YASR-60B-J~000002,2016,2.0,46.0,hurt_physically,Times in last year hurt someone physically,11551,305,0.973595359709116,32,0,0,,0,
Y4275601,Y42756.01,YASR-60B-J~000002,2018,4.0,48.0,hurt_physically,Times in last year hurt someone physically,11551,145,0.9874469742879405,10,0,0,,0,
Y4596801,Y45968.01,YASR-60B-J~000002,2020,6.0,50.0,hurt_physically,Times in last year hurt someone physically,11551,76,0.9934204830750585,2,0,0,,0,
